Red,Green,Blue
0.397,0.360,0.243
0.397,0.362,0.241
0.395,0.361,0.245
0.390,0.365,0.245
0.396,0.361,0.243
0.395,0.358,0.247
0.391,0.357,0.251
0.386,0.360,0.254
0.382,0.362,0.256
0.380,0.365,0.256
0.385,0.364,0.251
0.395,0.357,0.248
0.404,0.353,0.243
0.414,0.345,0.241
0.424,0.333,0.242
0.434,0.318,0.248
0.442,0.307,0.251
0.447,0.305,0.248
0.450,0.302,0.248
0.444,0.306,0.250
0.447,0.305,0.248
0.440,0.310,0.250
0.433,0.317,0.250
0.427,0.324,0.249
0.418,0.332,0.250
0.414,0.336,0.250
0.409,0.343,0.248
0.406,0.347,0.247
0.402,0.351,0.247
0.402,0.354,0.244
0.400,0.355,0.245
0.400,0.354,0.246
0.399,0.355,0.246
0.399,0.355,0.246
0.398,0.353,0.249
0.398,0.353,0.249
0.397,0.352,0.251
0.394,0.354,0.253
0.391,0.354,0.255
0.388,0.356,0.256
0.385,0.357,0.258
0.380,0.359,0.261
0.376,0.363,0.261
0.372,0.364,0.264
0.369,0.366,0.265
0.367,0.367,0.267
0.366,0.366,0.268
0.366,0.366,0.269
0.367,0.367,0.267
0.367,0.367,0.266
0.369,0.365,0.266
0.372,0.362,0.266
0.375,0.361,0.264
0.378,0.361,0.261
0.379,0.362,0.259
0.381,0.361,0.258
0.381,0.365,0.254
0.380,0.364,0.256
0.379,0.363,0.257
0.377,0.365,0.258
0.375,0.365,0.260
0.376,0.363,0.260
0.374,0.364,0.262
0.372,0.362,0.265
0.374,0.359,0.267
0.375,0.360,0.265
0.379,0.359,0.262
0.379,0.362,0.259
0.379,0.361,0.260
0.384,0.360,0.256
0.387,0.359,0.254
0.389,0.359,0.251
0.394,0.361,0.245
0.401,0.359,0.239
0.408,0.354,0.238
0.414,0.353,0.233
0.410,0.352,0.238
0.394,0.349,0.257
0.377,0.352,0.270
0.373,0.351,0.276
0.369,0.355,0.277
0.368,0.354,0.278
0.364,0.357,0.280
0.367,0.353,0.281
0.368,0.353,0.278
0.372,0.357,0.271
0.373,0.357,0.270
0.371,0.363,0.266
0.374,0.366,0.260
0.375,0.367,0.258
0.381,0.364,0.254
0.381,0.364,0.254
0.379,0.371,0.250
0.383,0.365,0.252
0.385,0.368,0.248
0.385,0.368,0.248
0.389,0.370,0.241
0.389,0.370,0.241
0.387,0.369,0.243
0.386,0.368,0.246
0.386,0.368,0.246
0.381,0.364,0.254
0.385,0.361,0.254
0.385,0.361,0.254
0.383,0.358,0.258
0.379,0.353,0.267
0.375,0.348,0.277
0.370,0.352,0.278
0.363,0.343,0.294
0.353,0.343,0.304
0.349,0.339,0.312
0.341,0.333,0.325
0.358,0.325,0.317
0.396,0.328,0.276
0.409,0.336,0.255
0.385,0.346,0.269
0.388,0.349,0.263
0.397,0.348,0.255
0.402,0.348,0.250
0.403,0.349,0.248
0.393,0.356,0.252
0.384,0.364,0.252
0.373,0.367,0.259
0.368,0.374,0.258
0.367,0.378,0.255
0.366,0.380,0.254
0.364,0.379,0.257
0.364,0.378,0.258
0.362,0.371,0.268
0.361,0.373,0.266
0.365,0.368,0.267
0.372,0.363,0.266
0.379,0.359,0.263
0.385,0.357,0.258
0.391,0.355,0.254
0.397,0.352,0.251
0.401,0.350,0.249
0.404,0.348,0.248
0.402,0.349,0.249
0.401,0.350,0.249
0.404,0.351,0.245
0.409,0.349,0.241
0.412,0.346,0.243
0.407,0.345,0.247
0.401,0.345,0.255
0.395,0.345,0.260
0.385,0.358,0.257
0.391,0.351,0.259
0.390,0.350,0.259
0.387,0.355,0.258
0.386,0.360,0.254
0.390,0.363,0.247
0.391,0.365,0.243
0.392,0.366,0.242
0.389,0.370,0.242
0.388,0.370,0.242
0.386,0.372,0.241
0.383,0.369,0.248
0.387,0.366,0.246
0.396,0.361,0.243
0.389,0.362,0.248
0.391,0.360,0.248
0.388,0.360,0.253
0.388,0.357,0.255
0.390,0.356,0.254
0.389,0.356,0.255
0.394,0.354,0.253
0.393,0.353,0.254
0.396,0.353,0.252
0.398,0.354,0.248
0.400,0.358,0.242
0.400,0.356,0.244
0.396,0.365,0.240
0.398,0.359,0.243
0.398,0.359,0.243
0.395,0.368,0.237
0.403,0.361,0.235
0.410,0.350,0.240
0.411,0.356,0.233
0.411,0.357,0.232
0.400,0.369,0.231
0.400,0.367,0.233
0.397,0.371,0.233
0.396,0.373,0.231
0.395,0.374,0.231
0.397,0.371,0.232
0.400,0.369,0.231
0.398,0.366,0.236
0.396,0.365,0.239
0.393,0.367,0.240
0.397,0.362,0.241
0.404,0.360,0.235
0.411,0.357,0.233
0.415,0.356,0.229
0.407,0.361,0.231
0.400,0.362,0.238
0.383,0.357,0.261
0.369,0.362,0.270
0.366,0.360,0.273
0.358,0.363,0.279
0.360,0.365,0.274
0.367,0.362,0.270
0.366,0.366,0.269
0.360,0.366,0.274
0.362,0.368,0.270
0.362,0.375,0.263
0.366,0.373,0.261
0.363,0.370,0.267
0.353,0.367,0.281
0.363,0.363,0.274
0.367,0.367,0.267
0.383,0.362,0.255
0.462,0.308,0.231
0.357,0.321,0.321
0.366,0.333,0.301
0.377,0.343,0.279
0.391,0.347,0.262
0.389,0.354,0.257
0.388,0.358,0.253
0.384,0.362,0.253
0.383,0.365,0.252
0.383,0.368,0.249
0.385,0.370,0.245
0.389,0.367,0.243
0.403,0.356,0.240
0.410,0.350,0.239
0.389,0.357,0.254
0.373,0.362,0.266
0.386,0.362,0.251
0.382,0.373,0.245
0.380,0.375,0.245
0.380,0.374,0.246
0.390,0.367,0.242
0.400,0.365,0.235
0.408,0.361,0.231
0.413,0.358,0.229
0.416,0.357,0.227
0.419,0.355,0.226
0.420,0.353,0.226
0.421,0.354,0.226
0.421,0.354,0.225
0.421,0.354,0.225
0.421,0.352,0.227
0.417,0.353,0.230
0.416,0.351,0.232
0.413,0.351,0.236
0.409,0.349,0.242
0.420,0.348,0.232
0.419,0.351,0.230
0.419,0.351,0.230
0.414,0.357,0.229
0.421,0.355,0.224
0.423,0.352,0.225
0.423,0.352,0.225
0.408,0.366,0.225
0.408,0.368,0.224
0.412,0.363,0.225
0.407,0.360,0.233
0.400,0.360,0.240
0.389,0.359,0.251
0.401,0.355,0.244
0.408,0.354,0.238
0.409,0.353,0.238
0.400,0.358,0.242
0.389,0.366,0.245
0.396,0.363,0.241
0.402,0.359,0.239
0.394,0.367,0.239
0.392,0.362,0.246
0.404,0.345,0.251
0.413,0.335,0.252
0.397,0.338,0.265
0.397,0.339,0.264
0.410,0.328,0.262
0.412,0.331,0.256
0.412,0.332,0.256
0.412,0.337,0.251
0.406,0.344,0.250
0.398,0.351,0.252
0.394,0.354,0.252
0.392,0.356,0.251
0.392,0.356,0.252
0.390,0.357,0.253
0.390,0.357,0.253
0.390,0.357,0.252
0.390,0.359,0.251
0.390,0.360,0.250
0.389,0.360,0.251
0.388,0.361,0.251
0.386,0.362,0.251
0.387,0.364,0.249
0.386,0.364,0.250
0.388,0.363,0.249
0.389,0.363,0.248
0.388,0.363,0.249
0.386,0.365,0.249
0.383,0.368,0.249
0.384,0.367,0.249
0.383,0.368,0.249
0.384,0.366,0.250
0.384,0.367,0.248
0.390,0.365,0.245
0.388,0.366,0.247
0.390,0.367,0.243
0.390,0.369,0.241
0.389,0.367,0.244
0.392,0.367,0.241
0.394,0.369,0.237
0.394,0.368,0.239
0.395,0.364,0.241
0.399,0.357,0.244
0.406,0.350,0.244
0.409,0.350,0.241
0.409,0.345,0.245
0.412,0.341,0.247
0.420,0.333,0.246
0.419,0.339,0.242
0.424,0.348,0.227
0.421,0.355,0.224
0.416,0.360,0.225
0.412,0.361,0.227
0.404,0.365,0.231
0.404,0.365,0.231
0.398,0.369,0.233
0.404,0.365,0.231
0.402,0.366,0.232
0.400,0.368,0.232
0.406,0.370,0.225
0.401,0.368,0.230
0.400,0.370,0.230
0.399,0.366,0.235
0.400,0.365,0.235
0.405,0.359,0.236
0.401,0.360,0.240
0.402,0.359,0.239
0.399,0.359,0.243
0.397,0.359,0.244
0.396,0.358,0.247
0.393,0.357,0.250
0.391,0.358,0.252
0.390,0.357,0.253
0.386,0.357,0.257
0.382,0.358,0.261
0.374,0.360,0.266
0.358,0.368,0.274
0.367,0.354,0.279
0.402,0.339,0.259
0.404,0.337,0.260
0.421,0.326,0.253
0.433,0.322,0.244
0.442,0.314,0.244
0.446,0.313,0.241
0.450,0.312,0.237
0.462,0.308,0.231
0.455,0.312,0.234
0.449,0.321,0.231
0.449,0.321,0.231
0.443,0.329,0.228
0.436,0.333,0.231
0.429,0.338,0.234
0.421,0.342,0.237
0.421,0.342,0.237
0.421,0.342,0.237
0.408,0.355,0.237
0.392,0.365,0.243
0.364,0.379,0.258
0.351,0.368,0.281
0.340,0.377,0.283
0.321,0.377,0.302
0.316,0.386,0.298
0.324,0.382,0.294
0.350,0.375,0.275
0.360,0.372,0.267
0.386,0.364,0.250
0.402,0.345,0.253
0.429,0.321,0.250
0.457,0.309,0.235
0.461,0.315,0.225
0.440,0.330,0.229
0.424,0.344,0.232
0.415,0.350,0.236
0.411,0.348,0.241
0.418,0.347,0.235
0.406,0.356,0.238
0.410,0.362,0.229
0.406,0.356,0.238
0.404,0.354,0.242
0.390,0.350,0.260
0.373,0.353,0.275
0.349,0.358,0.292
0.328,0.362,0.310
0.313,0.366,0.321
0.306,0.375,0.319
0.304,0.377,0.319
0.323,0.377,0.300
0.367,0.359,0.273
0.391,0.352,0.258
0.400,0.348,0.252
0.414,0.333,0.253
0.427,0.326,0.247
0.432,0.330,0.239
0.425,0.333,0.241
0.432,0.330,0.239
0.429,0.341,0.231
0.426,0.340,0.234
0.417,0.354,0.229
0.417,0.354,0.229
0.415,0.351,0.234
0.409,0.352,0.239
0.403,0.364,0.234
0.379,0.364,0.258
0.365,0.365,0.270
0.377,0.362,0.261
0.378,0.365,0.257
0.388,0.365,0.247
0.404,0.351,0.245
0.400,0.360,0.240
0.404,0.356,0.240
0.406,0.349,0.245
0.404,0.358,0.239
0.404,0.358,0.239
0.408,0.357,0.235
0.432,0.321,0.247
0.446,0.301,0.253
0.437,0.302,0.260
0.442,0.305,0.253
0.455,0.299,0.247
0.469,0.306,0.224
0.419,0.349,0.233
0.429,0.357,0.214
0.444,0.333,0.222
0.448,0.345,0.207
0.429,0.343,0.229
0.397,0.362,0.241
0.400,0.354,0.246
0.384,0.364,0.253
0.385,0.358,0.257
0.386,0.360,0.254
0.406,0.344,0.250
0.418,0.332,0.250
0.420,0.335,0.246
0.415,0.340,0.245
0.404,0.351,0.245
0.390,0.360,0.250
0.388,0.362,0.250
0.391,0.368,0.241
0.394,0.364,0.242
0.399,0.362,0.239
0.398,0.366,0.236
0.394,0.364,0.242
0.388,0.360,0.253
0.384,0.359,0.258
0.377,0.358,0.265
0.374,0.360,0.265
0.379,0.359,0.263
0.389,0.357,0.254
0.394,0.354,0.251
0.396,0.354,0.250
0.396,0.362,0.242
0.406,0.357,0.238
0.400,0.360,0.240
0.394,0.360,0.246
0.391,0.357,0.251
0.388,0.355,0.256
0.391,0.354,0.255
0.394,0.353,0.253
0.401,0.349,0.250
0.402,0.350,0.248
0.401,0.349,0.250
0.399,0.350,0.251
0.395,0.354,0.251
0.386,0.359,0.255
0.377,0.362,0.262
0.369,0.366,0.266
0.367,0.364,0.269
0.369,0.362,0.269
0.372,0.361,0.267
0.374,0.363,0.264
0.377,0.362,0.262
0.380,0.360,0.260
0.384,0.360,0.256
0.382,0.361,0.256
0.385,0.359,0.256
0.385,0.359,0.256
0.384,0.362,0.254
0.383,0.361,0.256
0.384,0.356,0.260
0.386,0.357,0.257
0.390,0.355,0.255
0.392,0.356,0.253
0.393,0.356,0.251
0.397,0.354,0.249
0.394,0.356,0.250
0.394,0.356,0.250
0.396,0.353,0.251
0.394,0.356,0.250
0.394,0.354,0.251
0.395,0.355,0.250
0.393,0.357,0.250
0.394,0.358,0.248
0.394,0.356,0.250
0.400,0.355,0.245
0.403,0.356,0.242
0.403,0.354,0.243
0.404,0.355,0.241
0.410,0.353,0.237
0.407,0.356,0.237
0.414,0.353,0.233
0.409,0.356,0.235
0.411,0.357,0.233
0.413,0.349,0.238
0.410,0.352,0.238
0.408,0.350,0.242
0.407,0.347,0.246
0.398,0.347,0.254
0.393,0.344,0.262
0.388,0.341,0.271
0.380,0.343,0.277
0.377,0.342,0.281
0.376,0.338,0.287
0.375,0.339,0.286
0.371,0.337,0.292
0.374,0.332,0.295
0.372,0.337,0.291
0.372,0.338,0.290
0.369,0.336,0.294
0.372,0.335,0.294
0.371,0.335,0.294
0.369,0.333,0.297
0.369,0.333,0.297
0.371,0.330,0.299
0.368,0.332,0.300
0.367,0.330,0.302
0.368,0.330,0.301
0.368,0.332,0.301
0.367,0.328,0.305
0.366,0.335,0.299
0.358,0.344,0.298
0.367,0.345,0.288
0.383,0.344,0.273
0.398,0.341,0.260
0.400,0.339,0.261
0.408,0.330,0.262
0.411,0.322,0.267
0.422,0.313,0.265
0.412,0.325,0.262
0.396,0.337,0.267
0.393,0.346,0.262
0.393,0.346,0.262
0.396,0.349,0.255
0.398,0.350,0.252
0.400,0.350,0.250
0.402,0.351,0.247
0.411,0.347,0.242
0.404,0.351,0.245
0.404,0.351,0.245
0.396,0.354,0.250
0.394,0.354,0.253
0.390,0.352,0.257
0.383,0.357,0.261
0.373,0.357,0.270
0.377,0.354,0.269
0.370,0.356,0.274
0.375,0.353,0.272
0.374,0.353,0.273
0.373,0.352,0.275
0.375,0.354,0.271
0.376,0.356,0.268
0.375,0.355,0.270
0.377,0.357,0.266
0.379,0.353,0.268
0.380,0.353,0.267
0.378,0.351,0.270
0.381,0.354,0.265
0.379,0.352,0.269
0.379,0.352,0.269
0.380,0.352,0.268
0.379,0.350,0.271
0.377,0.348,0.275
0.381,0.351,0.269
0.380,0.349,0.271
0.381,0.349,0.270
0.398,0.350,0.252
0.404,0.346,0.250
0.400,0.352,0.248
0.396,0.349,0.255
0.398,0.352,0.250
0.398,0.352,0.250
0.393,0.355,0.252
0.396,0.358,0.245
0.390,0.362,0.248
0.390,0.362,0.248
0.392,0.363,0.245
0.394,0.364,0.242
0.392,0.371,0.237
0.396,0.365,0.240
0.388,0.367,0.245
0.394,0.364,0.242
0.390,0.370,0.240
0.386,0.366,0.248
0.386,0.366,0.248
0.386,0.366,0.248
0.388,0.367,0.245
0.392,0.371,0.237
0.384,0.374,0.242
0.382,0.373,0.245
0.381,0.371,0.248
0.383,0.364,0.252
0.385,0.367,0.248
0.385,0.367,0.248
0.380,0.370,0.250
0.381,0.371,0.248
0.388,0.369,0.243
0.390,0.370,0.240
0.392,0.371,0.237
0.400,0.367,0.233
0.395,0.370,0.235
0.403,0.364,0.234
0.402,0.366,0.232
0.398,0.359,0.243
0.393,0.363,0.244
0.387,0.363,0.250
0.396,0.361,0.243
0.408,0.362,0.230
0.403,0.349,0.248
0.368,0.353,0.278
0.353,0.359,0.288
0.349,0.361,0.290
0.350,0.361,0.290
0.355,0.360,0.285
0.352,0.363,0.286
0.353,0.358,0.289
0.353,0.358,0.289
0.353,0.359,0.288
0.351,0.361,0.287
0.358,0.362,0.280
0.362,0.362,0.277
0.361,0.361,0.278
0.362,0.366,0.272
0.366,0.366,0.269
0.369,0.365,0.266
0.372,0.364,0.264
0.371,0.364,0.265
0.373,0.365,0.263
0.373,0.365,0.261
0.371,0.366,0.263
0.366,0.366,0.269
0.362,0.367,0.271
0.361,0.366,0.273
0.363,0.368,0.269
0.364,0.369,0.267
0.367,0.371,0.262
0.374,0.365,0.261
0.376,0.367,0.258
0.371,0.366,0.263
0.374,0.365,0.261
0.371,0.362,0.267
0.371,0.362,0.267
0.371,0.366,0.263
0.372,0.368,0.260
0.377,0.368,0.255
0.378,0.365,0.257
0.379,0.361,0.260
0.375,0.362,0.263
0.365,0.365,0.269
0.363,0.373,0.264
0.363,0.373,0.264
0.365,0.370,0.265
0.365,0.371,0.264
0.362,0.369,0.270
0.359,0.375,0.266
0.362,0.371,0.267
0.362,0.371,0.267
0.368,0.358,0.274
0.386,0.341,0.273
0.407,0.326,0.267
0.435,0.306,0.259
0.427,0.305,0.268
0.425,0.310,0.264
0.419,0.314,0.267
0.422,0.319,0.259
0.417,0.325,0.258
0.409,0.339,0.253
0.403,0.345,0.252
0.398,0.353,0.249
0.396,0.356,0.248
0.394,0.357,0.249
0.399,0.357,0.244
0.397,0.361,0.242
0.404,0.360,0.236
0.410,0.360,0.230
0.414,0.357,0.229
0.406,0.361,0.232
0.405,0.357,0.238
0.401,0.361,0.237
0.399,0.363,0.237
0.402,0.365,0.234
0.407,0.364,0.230
0.410,0.362,0.228
0.409,0.362,0.229
0.407,0.362,0.231
0.400,0.368,0.232
0.393,0.370,0.238
0.384,0.368,0.248
0.377,0.368,0.255
0.371,0.368,0.261
0.366,0.369,0.266
0.365,0.368,0.266
0.366,0.368,0.266
0.365,0.370,0.266
0.365,0.370,0.265
0.365,0.370,0.264
0.367,0.369,0.264
0.369,0.369,0.262
0.374,0.369,0.257
0.383,0.370,0.247
0.391,0.370,0.238
0.403,0.369,0.228
0.404,0.370,0.226
0.407,0.367,0.226
0.409,0.367,0.224
0.408,0.366,0.225
0.403,0.367,0.230
0.399,0.367,0.235
0.395,0.367,0.238
0.395,0.368,0.238
0.396,0.365,0.240
0.394,0.371,0.234
0.391,0.373,0.236
0.395,0.368,0.237
0.399,0.370,0.232
0.402,0.370,0.228
0.405,0.371,0.224
0.406,0.366,0.228
0.409,0.366,0.226
0.416,0.364,0.221
0.413,0.360,0.227
0.419,0.365,0.216
0.416,0.364,0.221
0.413,0.360,0.227
0.420,0.362,0.217
0.417,0.357,0.226
0.415,0.358,0.226
0.396,0.368,0.236
0.400,0.365,0.235
0.402,0.361,0.238
0.402,0.361,0.238
0.396,0.360,0.245
0.395,0.361,0.245
0.399,0.359,0.242
0.395,0.362,0.243
0.400,0.359,0.241
0.401,0.358,0.241
0.405,0.359,0.237
0.400,0.360,0.240
0.403,0.361,0.235
0.409,0.357,0.235
0.411,0.357,0.232
0.409,0.357,0.235
0.405,0.353,0.241
0.409,0.357,0.235
0.405,0.351,0.243
0.410,0.352,0.238
0.416,0.347,0.238
0.414,0.343,0.242
0.414,0.343,0.242
0.423,0.340,0.237
0.426,0.340,0.234
0.427,0.344,0.229
0.430,0.340,0.230
0.423,0.346,0.231
0.425,0.349,0.226
0.425,0.349,0.226
0.419,0.352,0.229
0.422,0.353,0.225
0.426,0.347,0.228
0.424,0.354,0.222
0.429,0.347,0.224
0.426,0.347,0.228
0.429,0.352,0.219
0.427,0.355,0.218
0.421,0.360,0.219
0.414,0.362,0.224
0.413,0.364,0.223
0.413,0.365,0.222
0.409,0.364,0.227
0.407,0.364,0.229
0.407,0.367,0.227
0.401,0.369,0.229
0.394,0.369,0.237
0.389,0.369,0.242
0.397,0.364,0.238
0.393,0.366,0.241
0.396,0.367,0.237
0.400,0.363,0.237
0.398,0.361,0.241
0.405,0.359,0.237
0.406,0.359,0.234
0.405,0.357,0.238
0.407,0.358,0.236
0.408,0.358,0.233
0.407,0.356,0.237
0.409,0.357,0.235
0.407,0.354,0.239
0.409,0.355,0.236
0.411,0.355,0.234
0.404,0.356,0.240
0.406,0.356,0.238
0.408,0.357,0.235
0.396,0.365,0.240
0.394,0.362,0.245
0.394,0.362,0.245
0.398,0.366,0.237
0.398,0.366,0.237
0.398,0.366,0.237
0.400,0.358,0.242
0.400,0.358,0.242
0.406,0.354,0.240
0.406,0.354,0.240
0.402,0.361,0.237
0.408,0.357,0.235
0.410,0.360,0.230
0.408,0.359,0.233
0.411,0.355,0.234
0.409,0.355,0.236
0.407,0.354,0.239
0.409,0.357,0.235
0.410,0.359,0.231
0.408,0.358,0.233
0.405,0.359,0.237
0.388,0.368,0.243
0.387,0.369,0.244
0.388,0.371,0.242
0.393,0.371,0.236
0.398,0.369,0.233
0.392,0.374,0.234
0.395,0.370,0.235
0.397,0.371,0.232
0.401,0.372,0.226
0.402,0.370,0.228
0.405,0.371,0.224
0.398,0.370,0.231
0.390,0.371,0.238
0.381,0.371,0.248
0.375,0.375,0.250
0.385,0.365,0.250
0.393,0.357,0.250
0.390,0.351,0.260
0.395,0.342,0.263
0.405,0.329,0.266
0.407,0.314,0.279
0.409,0.312,0.280
0.414,0.313,0.273
0.422,0.304,0.275
0.426,0.307,0.267
0.420,0.310,0.270
0.413,0.317,0.269
0.413,0.321,0.266
0.418,0.318,0.264
0.411,0.318,0.271
0.412,0.314,0.275
0.411,0.311,0.278
0.415,0.305,0.280
0.412,0.312,0.275
0.418,0.304,0.278
0.429,0.308,0.264
0.411,0.322,0.267
0.420,0.319,0.261
0.439,0.316,0.246
0.442,0.308,0.250
0.436,0.309,0.255
0.439,0.316,0.246
0.426,0.328,0.246
0.431,0.323,0.246
0.437,0.324,0.239
0.429,0.338,0.234
0.430,0.342,0.228
0.423,0.346,0.231
0.421,0.342,0.237
0.425,0.342,0.233
0.423,0.338,0.239
0.426,0.338,0.235
0.426,0.338,0.235
0.426,0.338,0.235
0.429,0.343,0.229
0.434,0.342,0.224
0.429,0.345,0.226
0.422,0.356,0.222
0.422,0.356,0.222
0.424,0.359,0.217
0.419,0.355,0.226
0.426,0.351,0.223
0.418,0.357,0.224
0.427,0.354,0.219
0.423,0.361,0.216
0.424,0.354,0.222
0.423,0.361,0.216
0.418,0.357,0.224
0.412,0.363,0.225
0.417,0.359,0.223
0.415,0.358,0.226
0.405,0.360,0.234
0.409,0.357,0.235
0.404,0.360,0.237
0.407,0.363,0.230
0.407,0.363,0.230
0.409,0.364,0.227
0.412,0.363,0.225
0.421,0.358,0.221
0.419,0.360,0.221
0.430,0.354,0.215
0.433,0.358,0.209
0.439,0.351,0.211
0.444,0.352,0.204
0.442,0.346,0.212
0.449,0.347,0.204
0.435,0.348,0.217
0.439,0.341,0.220
0.432,0.351,0.216
0.437,0.344,0.219
0.448,0.345,0.207
0.444,0.333,0.222
0.458,0.333,0.208
0.455,0.318,0.227
0.474,0.316,0.211
0.444,0.333,0.222
0.474,0.316,0.211
0.476,0.333,0.190
0.458,0.333,0.208
0.464,0.321,0.214
0.467,0.333,0.200
0.452,0.323,0.226
0.459,0.324,0.216
0.447,0.342,0.211
0.452,0.333,0.214
0.458,0.333,0.208
0.446,0.339,0.214
0.441,0.339,0.220
0.443,0.344,0.213
0.437,0.344,0.219
0.443,0.344,0.213
0.444,0.333,0.222
0.448,0.345,0.207
0.446,0.339,0.214
0.442,0.346,0.212
0.458,0.333,0.208
0.447,0.340,0.213
0.465,0.326,0.209
0.452,0.333,0.214
0.447,0.342,0.211
0.457,0.343,0.200
0.448,0.345,0.207
0.480,0.320,0.200
0.462,0.346,0.192
0.458,0.333,0.208
0.458,0.333,0.208
0.462,0.346,0.192
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.464,0.321,0.214
0.448,0.345,0.207
0.448,0.345,0.207
0.437,0.344,0.219
0.455,0.333,0.212
0.455,0.333,0.212
0.455,0.333,0.212
0.441,0.353,0.206
0.455,0.333,0.212
0.432,0.351,0.216
0.425,0.350,0.225
0.425,0.350,0.225
0.432,0.351,0.216
0.444,0.333,0.222
0.429,0.343,0.229
0.429,0.343,0.229
0.429,0.343,0.229
0.429,0.343,0.229
0.432,0.351,0.216
0.425,0.350,0.225
0.435,0.348,0.217
0.429,0.357,0.214
0.424,0.348,0.227
0.413,0.360,0.227
0.418,0.354,0.228
0.418,0.354,0.228
0.425,0.356,0.219
0.417,0.361,0.222
0.413,0.360,0.227
0.421,0.355,0.224
0.410,0.359,0.231
0.412,0.363,0.225
0.407,0.360,0.233
0.407,0.363,0.231
0.402,0.361,0.237
0.402,0.353,0.245
0.404,0.356,0.240
0.406,0.358,0.236
0.406,0.358,0.236
0.404,0.356,0.240
0.406,0.356,0.238
0.408,0.357,0.235
0.411,0.358,0.232
0.411,0.358,0.232
0.408,0.357,0.235
0.408,0.357,0.235
0.406,0.356,0.238
0.404,0.356,0.240
0.396,0.358,0.245
0.391,0.355,0.255
0.379,0.362,0.259
0.375,0.367,0.258
0.371,0.362,0.267
0.370,0.362,0.268
0.372,0.358,0.270
0.374,0.361,0.265
0.386,0.359,0.255
0.392,0.362,0.246
0.390,0.360,0.250
0.391,0.356,0.253
0.380,0.360,0.260
0.378,0.360,0.261
0.375,0.358,0.267
0.374,0.359,0.267
0.367,0.362,0.271
0.371,0.366,0.263
0.373,0.362,0.266
0.373,0.361,0.265
0.376,0.362,0.262
0.373,0.366,0.261
0.376,0.360,0.264
0.375,0.358,0.267
0.375,0.358,0.267
0.370,0.354,0.276
0.367,0.353,0.281
0.368,0.354,0.278
0.364,0.357,0.279
0.374,0.355,0.271
0.387,0.347,0.267
0.407,0.322,0.271
0.421,0.316,0.263
0.413,0.317,0.270
0.406,0.312,0.281
0.413,0.317,0.270
0.424,0.305,0.271
0.412,0.314,0.275
0.397,0.328,0.276
0.371,0.352,0.276
0.361,0.361,0.278
0.362,0.356,0.282
0.369,0.355,0.277
0.360,0.360,0.281
0.349,0.362,0.289
0.348,0.366,0.287
0.362,0.362,0.277
0.365,0.365,0.269
0.362,0.362,0.277
0.370,0.358,0.273
0.383,0.358,0.259
0.385,0.362,0.253
0.375,0.364,0.261
0.365,0.365,0.270
0.362,0.362,0.275
0.362,0.362,0.275
0.364,0.364,0.273
0.367,0.358,0.275
0.370,0.361,0.269
0.373,0.363,0.265
0.380,0.359,0.261
0.389,0.356,0.256
0.389,0.356,0.256
0.382,0.360,0.258
0.383,0.358,0.259
0.377,0.377,0.246
0.390,0.366,0.244
0.396,0.365,0.240
0.400,0.362,0.238
0.400,0.362,0.238
