Red,Green,Blue
0.224,0.376,0.400
0.223,0.375,0.402
0.223,0.374,0.403
0.220,0.376,0.404
0.222,0.376,0.403
0.223,0.371,0.406
0.221,0.372,0.407
0.226,0.368,0.406
0.229,0.367,0.405
0.232,0.365,0.404
0.240,0.361,0.399
0.251,0.357,0.392
0.261,0.357,0.382
0.275,0.349,0.376
0.285,0.343,0.372
0.296,0.336,0.368
0.303,0.328,0.370
0.316,0.325,0.360
0.330,0.320,0.350
0.344,0.323,0.333
0.326,0.337,0.337
0.298,0.351,0.351
0.270,0.371,0.360
0.267,0.372,0.360
0.271,0.364,0.364
0.282,0.349,0.369
0.291,0.343,0.366
0.289,0.340,0.371
0.279,0.344,0.377
0.276,0.347,0.378
0.266,0.352,0.382
0.253,0.356,0.391
0.244,0.360,0.396
0.231,0.361,0.409
0.228,0.360,0.411
0.227,0.362,0.411
0.224,0.362,0.414
0.225,0.361,0.414
0.235,0.366,0.399
0.238,0.367,0.395
0.243,0.368,0.389
0.241,0.369,0.390
0.243,0.371,0.386
0.246,0.370,0.384
0.246,0.370,0.384
0.246,0.370,0.384
0.246,0.370,0.384
0.246,0.370,0.384
0.246,0.370,0.384
0.246,0.370,0.384
0.246,0.370,0.384
0.241,0.372,0.387
0.241,0.372,0.387
0.237,0.370,0.393
0.239,0.373,0.388
0.237,0.374,0.389
0.240,0.372,0.388
0.240,0.372,0.388
0.240,0.372,0.388
0.238,0.369,0.392
0.240,0.372,0.388
0.242,0.367,0.391
0.238,0.373,0.389
0.238,0.373,0.389
0.238,0.373,0.389
0.240,0.368,0.392
0.240,0.368,0.392
0.234,0.371,0.395
0.238,0.369,0.393
0.240,0.372,0.388
0.240,0.372,0.388
0.240,0.372,0.388
0.240,0.372,0.388
0.238,0.369,0.393
0.238,0.373,0.389
0.233,0.372,0.395
0.235,0.371,0.394
0.234,0.372,0.394
0.234,0.369,0.397
0.233,0.370,0.397
0.229,0.373,0.399
0.228,0.371,0.401
0.225,0.372,0.403
0.220,0.374,0.407
0.219,0.376,0.405
0.215,0.377,0.408
0.214,0.381,0.405
0.209,0.386,0.405
0.207,0.388,0.405
0.208,0.389,0.403
0.208,0.389,0.403
0.209,0.390,0.401
0.211,0.389,0.400
0.213,0.390,0.397
0.214,0.389,0.397
0.214,0.389,0.397
0.216,0.389,0.394
0.217,0.388,0.395
0.218,0.387,0.395
0.221,0.383,0.396
0.223,0.381,0.395
0.224,0.381,0.395
0.225,0.380,0.395
0.228,0.379,0.393
0.227,0.380,0.393
0.228,0.381,0.391
0.227,0.383,0.390
0.228,0.382,0.389
0.230,0.381,0.389
0.233,0.382,0.386
0.236,0.380,0.384
0.239,0.380,0.380
0.237,0.382,0.382
0.237,0.379,0.384
0.231,0.382,0.387
0.228,0.381,0.391
0.229,0.379,0.393
0.229,0.371,0.400
0.230,0.371,0.399
0.234,0.370,0.396
0.229,0.370,0.401
0.228,0.365,0.406
0.231,0.360,0.409
0.246,0.353,0.401
0.250,0.356,0.394
0.262,0.356,0.383
0.268,0.348,0.384
0.283,0.346,0.370
0.298,0.333,0.368
0.311,0.330,0.359
0.322,0.322,0.356
0.351,0.311,0.338
0.362,0.304,0.333
0.373,0.313,0.313
0.381,0.317,0.302
0.359,0.321,0.321
0.340,0.330,0.330
0.325,0.333,0.342
0.307,0.343,0.350
0.295,0.349,0.356
0.281,0.359,0.359
0.277,0.361,0.361
0.273,0.364,0.364
0.270,0.365,0.365
0.265,0.367,0.367
0.267,0.366,0.366
0.264,0.368,0.368
0.272,0.368,0.360
0.266,0.371,0.363
0.265,0.371,0.364
0.268,0.366,0.366
0.262,0.362,0.376
0.258,0.361,0.381
0.258,0.361,0.381
0.255,0.359,0.386
0.260,0.364,0.377
0.265,0.364,0.371
0.264,0.365,0.372
0.271,0.361,0.368
0.270,0.362,0.369
0.271,0.364,0.364
0.266,0.367,0.367
0.266,0.367,0.367
0.257,0.371,0.371
0.252,0.374,0.374
0.250,0.371,0.379
0.248,0.369,0.383
0.243,0.371,0.386
0.243,0.371,0.386
0.243,0.371,0.386
0.241,0.372,0.387
0.240,0.372,0.388
0.237,0.374,0.389
0.241,0.372,0.387
0.237,0.374,0.388
0.237,0.374,0.388
0.239,0.373,0.387
0.238,0.371,0.392
0.234,0.372,0.393
0.236,0.372,0.392
0.235,0.376,0.389
0.233,0.380,0.387
0.233,0.380,0.387
0.230,0.375,0.395
0.237,0.375,0.388
0.235,0.379,0.386
0.232,0.374,0.394
0.234,0.377,0.390
0.232,0.374,0.394
0.232,0.374,0.394
0.235,0.373,0.392
0.235,0.376,0.389
0.231,0.378,0.392
0.232,0.377,0.391
0.227,0.379,0.394
0.228,0.378,0.394
0.228,0.382,0.390
0.231,0.380,0.388
0.236,0.378,0.386
0.238,0.378,0.385
0.240,0.377,0.383
0.242,0.376,0.383
0.242,0.379,0.379
0.244,0.382,0.374
0.244,0.385,0.370
0.250,0.379,0.371
0.252,0.378,0.371
0.254,0.380,0.366
0.254,0.380,0.366
0.252,0.381,0.367
0.254,0.385,0.362
0.252,0.387,0.361
0.250,0.384,0.366
0.243,0.387,0.369
0.243,0.387,0.369
0.243,0.387,0.369
0.250,0.384,0.366
0.246,0.386,0.368
0.246,0.386,0.368
0.241,0.388,0.371
0.239,0.385,0.376
0.242,0.383,0.375
0.242,0.383,0.375
0.242,0.383,0.375
0.242,0.383,0.375
0.246,0.381,0.373
0.250,0.379,0.371
0.248,0.381,0.372
0.252,0.378,0.369
0.259,0.370,0.370
0.260,0.375,0.365
0.265,0.373,0.363
0.270,0.370,0.360
0.268,0.371,0.361
0.271,0.365,0.365
0.268,0.371,0.361
0.267,0.366,0.366
0.269,0.365,0.365
0.271,0.364,0.364
0.272,0.360,0.368
0.276,0.358,0.366
0.278,0.353,0.368
0.283,0.352,0.366
0.281,0.353,0.366
0.286,0.348,0.366
0.289,0.349,0.361
0.287,0.351,0.363
0.285,0.349,0.366
0.282,0.354,0.365
0.281,0.354,0.365
0.281,0.352,0.367
0.281,0.352,0.367
0.282,0.352,0.366
0.286,0.352,0.362
0.286,0.350,0.364
0.285,0.351,0.364
0.284,0.349,0.367
0.280,0.351,0.368
0.278,0.351,0.371
0.273,0.355,0.372
0.269,0.359,0.372
0.267,0.364,0.369
0.260,0.373,0.367
0.254,0.377,0.369
0.239,0.385,0.376
0.230,0.381,0.389
0.225,0.384,0.391
0.223,0.385,0.392
0.224,0.385,0.391
0.218,0.387,0.394
0.218,0.391,0.391
0.213,0.393,0.393
0.211,0.391,0.398
0.214,0.387,0.399
0.213,0.386,0.401
0.212,0.387,0.401
0.213,0.384,0.403
0.211,0.382,0.407
0.208,0.381,0.410
0.209,0.382,0.409
0.209,0.380,0.411
0.210,0.382,0.408
0.210,0.386,0.404
0.215,0.387,0.398
0.215,0.396,0.389
0.216,0.392,0.392
0.215,0.398,0.387
0.224,0.395,0.382
0.219,0.406,0.375
0.227,0.409,0.364
0.237,0.395,0.368
0.224,0.408,0.367
0.231,0.404,0.365
0.213,0.410,0.377
0.215,0.405,0.380
0.218,0.410,0.372
0.221,0.403,0.377
0.209,0.407,0.384
0.208,0.403,0.390
0.202,0.404,0.393
0.204,0.398,0.398
0.202,0.404,0.394
0.198,0.405,0.396
0.194,0.403,0.403
0.195,0.396,0.408
0.195,0.395,0.410
0.195,0.394,0.412
0.197,0.390,0.414
0.198,0.389,0.413
0.197,0.390,0.413
0.198,0.389,0.412
0.195,0.391,0.414
0.198,0.389,0.412
0.197,0.389,0.414
0.198,0.389,0.413
0.198,0.389,0.412
0.195,0.391,0.414
0.195,0.391,0.414
0.195,0.390,0.415
0.190,0.394,0.416
0.190,0.395,0.415
0.191,0.395,0.414
0.194,0.392,0.414
0.194,0.392,0.414
0.193,0.390,0.417
0.197,0.390,0.413
0.199,0.390,0.411
0.203,0.391,0.406
0.208,0.393,0.399
0.213,0.392,0.395
0.215,0.391,0.394
0.216,0.392,0.392
0.218,0.392,0.390
0.221,0.392,0.387
0.221,0.393,0.387
0.222,0.393,0.384
0.224,0.394,0.382
0.226,0.397,0.377
0.227,0.397,0.376
0.227,0.397,0.376
0.224,0.399,0.377
0.224,0.400,0.376
0.220,0.403,0.377
0.215,0.403,0.382
0.211,0.405,0.384
0.210,0.403,0.387
0.209,0.403,0.388
0.209,0.401,0.390
0.212,0.399,0.389
0.211,0.398,0.391
0.213,0.398,0.389
0.214,0.398,0.388
0.218,0.396,0.387
0.221,0.393,0.387
0.222,0.392,0.386
0.223,0.390,0.387
0.224,0.391,0.385
0.224,0.388,0.388
0.224,0.390,0.386
0.225,0.388,0.388
0.224,0.388,0.388
0.225,0.386,0.389
0.223,0.387,0.390
0.227,0.385,0.388
0.223,0.387,0.390
0.224,0.384,0.392
0.223,0.379,0.398
0.222,0.379,0.399
0.219,0.380,0.401
0.217,0.381,0.403
0.217,0.382,0.401
0.218,0.383,0.398
0.219,0.383,0.398
0.222,0.384,0.395
0.238,0.377,0.385
0.238,0.381,0.381
0.236,0.378,0.386
0.234,0.375,0.391
0.233,0.376,0.391
0.229,0.371,0.400
0.223,0.378,0.399
0.221,0.377,0.403
0.225,0.369,0.406
0.224,0.371,0.406
0.231,0.364,0.405
0.232,0.362,0.407
0.233,0.358,0.409
0.232,0.356,0.412
0.231,0.357,0.412
0.230,0.358,0.412
0.223,0.365,0.411
0.223,0.365,0.412
0.221,0.367,0.412
0.215,0.370,0.415
0.207,0.375,0.418
0.206,0.379,0.415
0.203,0.383,0.414
0.202,0.387,0.411
0.201,0.388,0.412
0.199,0.391,0.409
0.198,0.392,0.410
0.199,0.391,0.409
0.201,0.390,0.409
0.200,0.392,0.408
0.201,0.391,0.408
0.203,0.392,0.406
0.204,0.391,0.405
0.204,0.391,0.405
0.203,0.391,0.406
0.201,0.392,0.407
0.202,0.391,0.407
0.201,0.392,0.407
0.200,0.392,0.408
0.202,0.393,0.406
0.199,0.394,0.407
0.199,0.394,0.407
0.199,0.394,0.407
0.200,0.394,0.406
0.200,0.394,0.406
0.201,0.395,0.404
0.200,0.393,0.407
0.202,0.392,0.406
0.201,0.393,0.405
0.202,0.392,0.406
0.200,0.393,0.407
0.201,0.392,0.407
0.202,0.393,0.404
0.202,0.393,0.405
0.207,0.392,0.401
0.207,0.391,0.401
0.212,0.389,0.399
0.237,0.379,0.384
0.234,0.377,0.390
0.232,0.373,0.394
0.228,0.374,0.398
0.227,0.372,0.401
0.225,0.371,0.404
0.225,0.371,0.404
0.221,0.369,0.410
0.222,0.368,0.410
0.222,0.367,0.411
0.218,0.371,0.412
0.214,0.374,0.412
0.213,0.379,0.408
0.210,0.381,0.409
0.211,0.380,0.409
0.212,0.381,0.407
0.214,0.380,0.407
0.215,0.379,0.406
0.216,0.378,0.405
0.218,0.378,0.405
0.219,0.376,0.405
0.219,0.376,0.405
0.218,0.377,0.405
0.216,0.380,0.404
0.215,0.380,0.405
0.215,0.381,0.404
0.215,0.381,0.404
0.213,0.381,0.406
0.216,0.381,0.403
0.219,0.379,0.401
0.221,0.379,0.400
0.222,0.379,0.399
0.222,0.380,0.397
0.224,0.379,0.396
0.223,0.381,0.396
0.224,0.382,0.394
0.223,0.385,0.392
0.223,0.385,0.392
0.223,0.385,0.392
0.224,0.384,0.392
0.223,0.386,0.392
0.222,0.388,0.391
0.219,0.390,0.390
0.215,0.394,0.391
0.214,0.393,0.393
0.215,0.391,0.394
0.216,0.392,0.392
0.220,0.390,0.390
0.223,0.389,0.389
0.223,0.388,0.388
0.223,0.387,0.390
0.223,0.385,0.392
0.223,0.386,0.391
0.221,0.385,0.394
0.220,0.383,0.397
0.220,0.382,0.397
0.218,0.382,0.400
0.220,0.380,0.400
0.220,0.381,0.400
0.221,0.379,0.400
0.221,0.380,0.399
0.222,0.379,0.399
0.220,0.381,0.399
0.219,0.383,0.399
0.218,0.383,0.399
0.220,0.380,0.400
0.221,0.379,0.400
0.221,0.377,0.402
0.221,0.377,0.402
0.221,0.376,0.403
0.222,0.374,0.404
0.220,0.378,0.402
0.220,0.379,0.401
0.217,0.381,0.403
0.213,0.382,0.405
0.211,0.380,0.408
0.213,0.381,0.407
0.215,0.380,0.405
0.220,0.376,0.404
0.223,0.372,0.404
0.233,0.372,0.395
0.236,0.379,0.385
0.244,0.378,0.378
0.242,0.386,0.373
0.238,0.395,0.367
0.243,0.400,0.357
0.245,0.403,0.353
0.245,0.410,0.345
0.246,0.415,0.338
0.248,0.416,0.336
0.252,0.419,0.329
0.252,0.423,0.325
0.251,0.427,0.322
0.254,0.431,0.315
0.251,0.436,0.313
0.250,0.437,0.312
0.249,0.439,0.312
0.248,0.440,0.312
0.246,0.443,0.311
0.243,0.445,0.312
0.237,0.450,0.312
0.231,0.454,0.314
0.231,0.452,0.317
0.234,0.450,0.317
0.238,0.444,0.318
0.241,0.443,0.316
0.240,0.442,0.317
0.244,0.440,0.316
0.242,0.440,0.319
0.244,0.439,0.317
0.244,0.437,0.320
0.241,0.439,0.321
0.246,0.434,0.320
0.245,0.429,0.325
0.245,0.429,0.327
0.250,0.434,0.316
0.252,0.433,0.315
0.254,0.434,0.311
0.252,0.435,0.313
0.250,0.433,0.317
0.252,0.427,0.322
0.253,0.422,0.325
0.259,0.422,0.319
0.263,0.419,0.317
0.265,0.416,0.319
0.267,0.415,0.318
0.268,0.415,0.317
0.271,0.413,0.316
0.270,0.411,0.319
0.246,0.381,0.373
0.242,0.376,0.383
0.235,0.377,0.389
0.232,0.373,0.395
0.226,0.372,0.402
0.221,0.372,0.407
0.221,0.372,0.407
0.218,0.375,0.407
0.216,0.375,0.410
0.217,0.375,0.408
0.216,0.377,0.407
0.215,0.378,0.407
0.217,0.380,0.402
0.219,0.381,0.400
0.220,0.382,0.398
0.222,0.380,0.398
0.223,0.380,0.397
0.224,0.380,0.397
0.225,0.379,0.396
0.226,0.378,0.396
0.225,0.381,0.394
0.226,0.381,0.392
0.226,0.381,0.393
0.225,0.382,0.393
0.224,0.380,0.395
0.223,0.381,0.396
0.223,0.381,0.396
0.224,0.379,0.397
0.224,0.381,0.395
0.226,0.380,0.394
0.224,0.380,0.396
0.220,0.382,0.398
0.218,0.381,0.401
0.216,0.382,0.402
0.216,0.382,0.402
0.217,0.382,0.401
0.218,0.384,0.399
0.221,0.382,0.397
0.212,0.385,0.403
0.208,0.392,0.399
0.211,0.388,0.401
0.212,0.388,0.401
0.211,0.388,0.401
0.213,0.384,0.403
0.217,0.380,0.403
0.219,0.380,0.402
0.219,0.381,0.400
0.216,0.383,0.401
0.216,0.381,0.403
0.214,0.381,0.405
0.214,0.381,0.405
0.211,0.380,0.408
0.211,0.380,0.409
0.212,0.379,0.409
0.212,0.378,0.409
0.211,0.381,0.409
0.210,0.381,0.410
0.211,0.380,0.409
0.212,0.380,0.407
0.212,0.380,0.408
0.214,0.381,0.406
0.216,0.381,0.403
0.218,0.379,0.402
0.218,0.379,0.402
0.216,0.381,0.403
0.218,0.380,0.402
0.218,0.380,0.402
0.218,0.381,0.401
0.217,0.380,0.403
0.218,0.376,0.406
0.219,0.376,0.405
0.215,0.376,0.409
0.217,0.377,0.406
0.217,0.379,0.404
0.219,0.377,0.404
0.219,0.377,0.404
0.218,0.377,0.405
0.220,0.378,0.402
0.223,0.377,0.401
0.220,0.378,0.402
0.219,0.376,0.405
0.221,0.374,0.404
0.226,0.374,0.400
0.227,0.374,0.399
0.230,0.368,0.402
0.225,0.370,0.405
0.217,0.375,0.408
0.211,0.379,0.410
0.208,0.379,0.413
0.205,0.379,0.416
0.203,0.381,0.416
0.197,0.386,0.417
0.194,0.388,0.417
0.196,0.389,0.414
0.195,0.391,0.414
0.197,0.390,0.413
0.196,0.388,0.416
0.196,0.388,0.415
0.199,0.386,0.416
0.198,0.386,0.416
0.197,0.385,0.418
0.198,0.385,0.417
0.201,0.383,0.416
0.200,0.384,0.416
0.202,0.384,0.414
0.204,0.384,0.412
0.207,0.383,0.410
0.210,0.382,0.408
0.210,0.383,0.407
0.214,0.383,0.403
0.217,0.384,0.400
0.218,0.384,0.398
0.220,0.383,0.397
0.222,0.384,0.395
0.223,0.383,0.394
0.222,0.383,0.394
0.221,0.383,0.396
0.217,0.385,0.398
0.215,0.385,0.400
0.212,0.386,0.402
0.211,0.386,0.403
0.210,0.387,0.403
0.209,0.388,0.404
0.210,0.386,0.404
0.210,0.385,0.404
0.211,0.386,0.404
0.213,0.385,0.403
0.212,0.385,0.403
0.212,0.384,0.404
0.211,0.386,0.404
0.211,0.385,0.404
0.212,0.384,0.404
0.212,0.384,0.403
0.214,0.383,0.403
0.214,0.384,0.402
0.214,0.383,0.403
0.215,0.383,0.403
0.213,0.384,0.403
0.215,0.383,0.403
0.214,0.385,0.401
0.214,0.384,0.402
0.215,0.383,0.403
0.214,0.382,0.403
0.215,0.383,0.402
0.216,0.383,0.400
0.216,0.382,0.402
0.214,0.383,0.403
0.216,0.382,0.402
0.217,0.385,0.398
0.218,0.384,0.398
0.218,0.384,0.398
0.218,0.384,0.398
0.220,0.383,0.397
0.219,0.384,0.397
0.219,0.382,0.398
0.220,0.383,0.397
0.219,0.382,0.399
0.220,0.382,0.399
0.221,0.381,0.398
0.222,0.380,0.398
0.225,0.380,0.396
0.226,0.378,0.396
0.229,0.377,0.395
0.228,0.377,0.394
0.229,0.377,0.394
0.230,0.377,0.393
0.231,0.377,0.391
0.232,0.377,0.391
0.232,0.378,0.389
0.233,0.377,0.390
0.234,0.378,0.388
0.235,0.377,0.388
0.237,0.378,0.386
0.237,0.379,0.384
0.239,0.378,0.383
0.238,0.379,0.382
0.237,0.380,0.383
0.235,0.379,0.387
0.233,0.378,0.389
0.235,0.374,0.390
0.239,0.373,0.388
0.242,0.370,0.388
0.243,0.372,0.385
0.242,0.372,0.386
0.242,0.372,0.386
0.241,0.372,0.387
0.246,0.371,0.383
0.243,0.375,0.382
0.248,0.372,0.380
0.254,0.370,0.377
0.252,0.371,0.378
0.259,0.371,0.371
0.257,0.372,0.372
0.258,0.371,0.371
0.261,0.366,0.373
0.259,0.367,0.373
0.258,0.368,0.374
0.260,0.370,0.370
0.261,0.369,0.369
0.258,0.371,0.371
0.262,0.363,0.375
0.256,0.366,0.378
0.257,0.365,0.377
0.256,0.363,0.381
0.253,0.365,0.382
0.253,0.365,0.382
0.251,0.363,0.386
0.253,0.365,0.382
0.251,0.363,0.386
0.250,0.364,0.386
0.246,0.366,0.388
0.240,0.367,0.393
0.240,0.370,0.391
0.241,0.369,0.390
0.241,0.372,0.387
0.240,0.367,0.393
0.241,0.369,0.390
0.239,0.371,0.391
0.232,0.373,0.395
0.226,0.374,0.399
0.221,0.375,0.404
0.212,0.376,0.412
0.214,0.375,0.411
0.218,0.375,0.408
0.224,0.371,0.405
0.225,0.370,0.404
0.225,0.370,0.405
0.229,0.369,0.402
0.228,0.369,0.403
0.231,0.369,0.400
0.236,0.367,0.397
0.244,0.365,0.391
0.257,0.357,0.386
0.264,0.354,0.382
0.274,0.347,0.378
0.282,0.344,0.374
0.295,0.336,0.369
0.311,0.326,0.363
0.311,0.326,0.363
0.314,0.325,0.361
0.318,0.321,0.361
0.324,0.315,0.362
0.328,0.312,0.360
0.332,0.307,0.361
0.332,0.308,0.360
0.315,0.319,0.366
0.276,0.349,0.375
0.254,0.361,0.386
0.235,0.372,0.392
0.225,0.379,0.396
0.213,0.387,0.400
0.209,0.389,0.402
0.211,0.388,0.401
0.208,0.391,0.401
0.208,0.392,0.400
0.211,0.390,0.399
0.212,0.391,0.397
0.208,0.393,0.399
0.204,0.394,0.401
0.207,0.397,0.397
0.214,0.398,0.388
0.214,0.398,0.388
0.211,0.398,0.390
0.211,0.394,0.394
0.209,0.393,0.398
0.210,0.395,0.395
0.205,0.394,0.402
0.203,0.395,0.402
0.201,0.394,0.405
0.205,0.394,0.402
0.207,0.394,0.399
0.210,0.391,0.399
0.213,0.391,0.396
0.216,0.391,0.393
0.221,0.386,0.393
0.220,0.385,0.395
0.218,0.385,0.397
0.217,0.384,0.399
0.210,0.391,0.399
0.202,0.393,0.404
0.205,0.391,0.404
0.207,0.390,0.403
0.208,0.391,0.401
0.213,0.390,0.397
0.216,0.385,0.398
0.219,0.389,0.392
0.220,0.387,0.393
0.221,0.382,0.397
0.221,0.380,0.400
0.221,0.379,0.400
0.220,0.379,0.400
0.219,0.379,0.402
0.220,0.377,0.403
0.221,0.375,0.404
0.221,0.375,0.404
0.221,0.374,0.405
0.220,0.375,0.405
0.225,0.374,0.401
0.228,0.371,0.400
0.226,0.373,0.400
0.224,0.373,0.403
0.222,0.374,0.404
0.221,0.376,0.404
0.222,0.375,0.403
0.225,0.373,0.402
0.224,0.374,0.401
0.228,0.372,0.400
0.229,0.372,0.399
0.226,0.375,0.399
0.229,0.375,0.397
0.239,0.364,0.397
0.246,0.358,0.396
0.247,0.351,0.402
0.246,0.351,0.403
0.243,0.355,0.402
0.239,0.360,0.401
0.245,0.367,0.388
0.251,0.366,0.383
0.249,0.368,0.383
0.249,0.370,0.381
0.246,0.373,0.381
0.247,0.377,0.377
0.245,0.382,0.373
0.245,0.388,0.367
0.247,0.397,0.356
0.250,0.405,0.345
0.244,0.429,0.328
0.238,0.455,0.307
0.239,0.465,0.296
0.261,0.435,0.304
0.235,0.456,0.309
0.225,0.450,0.325
0.231,0.449,0.320
0.232,0.449,0.319
0.231,0.446,0.323
0.235,0.442,0.323
0.221,0.450,0.328
0.232,0.465,0.303
0.239,0.460,0.301
0.242,0.461,0.297
0.243,0.456,0.301
0.242,0.451,0.307
0.239,0.448,0.313
0.235,0.447,0.318
0.239,0.441,0.319
0.241,0.436,0.323
0.242,0.437,0.321
0.245,0.429,0.326
0.240,0.423,0.337
0.234,0.417,0.349
0.232,0.406,0.362
0.223,0.402,0.375
0.224,0.411,0.365
0.223,0.423,0.353
0.222,0.433,0.345
0.223,0.435,0.342
0.219,0.428,0.353
0.217,0.419,0.364
0.217,0.407,0.376
0.216,0.403,0.380
0.219,0.398,0.383
0.219,0.395,0.386
0.217,0.394,0.389
0.212,0.396,0.393
0.208,0.394,0.397
0.206,0.394,0.400
0.205,0.391,0.404
0.205,0.387,0.408
0.207,0.384,0.409
0.208,0.384,0.408
0.210,0.380,0.410
0.211,0.379,0.410
0.211,0.380,0.409
0.212,0.380,0.409
0.213,0.377,0.410
0.210,0.378,0.412
0.209,0.379,0.412
0.207,0.378,0.414
0.206,0.378,0.415
0.205,0.378,0.417
0.208,0.378,0.413
0.213,0.380,0.407
0.217,0.376,0.407
0.223,0.380,0.397
0.228,0.381,0.391
0.231,0.379,0.391
0.228,0.383,0.389
0.224,0.388,0.388
0.221,0.390,0.390
0.217,0.392,0.392
0.213,0.385,0.402
0.223,0.380,0.397
0.230,0.381,0.389
0.235,0.383,0.383
0.235,0.378,0.387
0.240,0.376,0.384
0.242,0.371,0.387
0.240,0.376,0.384
0.236,0.374,0.390
0.236,0.378,0.386
0.232,0.377,0.391
0.234,0.376,0.390
0.228,0.376,0.396
0.234,0.373,0.392
0.231,0.375,0.394
0.234,0.374,0.392
0.228,0.375,0.397
0.228,0.378,0.394
0.229,0.380,0.390
0.231,0.380,0.389
0.230,0.378,0.392
0.228,0.379,0.393
0.229,0.379,0.392
0.228,0.375,0.397
0.226,0.377,0.397
0.225,0.378,0.398
0.227,0.375,0.398
0.227,0.375,0.398
0.226,0.374,0.400
0.225,0.375,0.400
0.226,0.377,0.397
0.222,0.380,0.398
0.222,0.382,0.397
0.219,0.384,0.398
0.219,0.385,0.396
0.217,0.386,0.397
0.215,0.387,0.398
0.214,0.388,0.398
0.211,0.389,0.400
0.209,0.388,0.404
0.205,0.386,0.408
0.204,0.385,0.411
0.201,0.384,0.415
0.200,0.383,0.417
0.205,0.382,0.413
0.207,0.380,0.413
0.210,0.377,0.412
0.213,0.377,0.410
0.212,0.376,0.412
0.217,0.373,0.410
0.219,0.371,0.410
0.222,0.369,0.409
0.229,0.365,0.406
0.232,0.362,0.407
0.235,0.364,0.401
0.235,0.366,0.399
0.236,0.368,0.396
0.238,0.362,0.400
0.240,0.360,0.400
0.237,0.364,0.398
0.241,0.362,0.397
0.234,0.364,0.402
0.229,0.375,0.396
0.229,0.373,0.398
0.242,0.379,0.379
0.246,0.386,0.368
0.245,0.377,0.377
0.245,0.377,0.377
0.250,0.375,0.375
0.250,0.375,0.375
0.240,0.373,0.387
0.241,0.368,0.391
0.237,0.361,0.402
0.238,0.362,0.400
0.239,0.359,0.402
0.238,0.357,0.405
0.239,0.355,0.406
0.240,0.360,0.400
0.236,0.360,0.404
0.235,0.365,0.400
0.236,0.360,0.404
0.234,0.362,0.404
0.236,0.362,0.402
0.234,0.366,0.400
0.235,0.366,0.399
0.237,0.365,0.397
0.237,0.365,0.397
0.238,0.364,0.397
0.234,0.368,0.397
0.236,0.370,0.394
0.236,0.370,0.394
0.229,0.368,0.403
0.228,0.370,0.402
0.221,0.371,0.407
0.221,0.370,0.408
0.220,0.372,0.408
0.219,0.373,0.407
0.221,0.374,0.406
0.220,0.376,0.404
0.224,0.378,0.398
0.228,0.376,0.396
0.230,0.375,0.395
0.231,0.376,0.393
0.233,0.377,0.390
0.235,0.377,0.389
0.235,0.375,0.390
0.235,0.375,0.390
0.236,0.375,0.390
0.235,0.374,0.391
0.233,0.375,0.392
0.234,0.375,0.392
0.231,0.376,0.393
0.230,0.378,0.392
0.229,0.379,0.393
0.226,0.380,0.394
0.221,0.381,0.398
0.220,0.381,0.399
0.221,0.380,0.399
0.221,0.381,0.398
0.220,0.384,0.395
0.220,0.386,0.394
0.220,0.384,0.396
0.222,0.383,0.395
0.223,0.381,0.396
0.226,0.377,0.397
0.224,0.374,0.402
0.225,0.373,0.402
0.223,0.371,0.405
0.228,0.369,0.403
