RedRatio,GreenRatio,BlueRatio,Class
0.335,0.375,0.290,0
0.340,0.371,0.289,0
0.340,0.375,0.285,0
0.343,0.379,0.279,0
0.346,0.377,0.277,0
0.352,0.377,0.270,0
0.358,0.374,0.268,0
0.360,0.376,0.264,0
0.362,0.378,0.260,0
0.364,0.379,0.258,0
0.365,0.380,0.255,0
0.364,0.378,0.259,0
0.366,0.373,0.261,0
0.356,0.380,0.264,0
0.353,0.376,0.271,0
0.343,0.382,0.275,0
0.339,0.377,0.284,0
0.337,0.374,0.289,0
0.337,0.375,0.288,0
0.339,0.372,0.289,0
0.339,0.374,0.287,0
0.343,0.373,0.283,0
0.340,0.377,0.283,0
0.335,0.380,0.285,0
0.340,0.377,0.283,0
0.338,0.377,0.286,0
0.338,0.377,0.286,0
0.338,0.377,0.285,0
0.342,0.377,0.281,0
0.338,0.378,0.284,0
0.340,0.377,0.283,0
0.341,0.376,0.283,0
0.343,0.376,0.282,0
0.344,0.370,0.286,0
0.344,0.370,0.286,0
0.347,0.368,0.284,0
0.351,0.368,0.281,0
0.354,0.366,0.280,0
0.362,0.362,0.276,0
0.364,0.364,0.273,0
0.374,0.360,0.266,0
0.379,0.355,0.266,0
0.379,0.359,0.262,0
0.386,0.349,0.265,0
0.386,0.357,0.257,0
0.387,0.355,0.258,0
0.373,0.356,0.271,0
0.361,0.361,0.279,0
0.359,0.359,0.281,0
0.353,0.353,0.294,0
0.338,0.366,0.296,0
0.333,0.360,0.307,0
0.333,0.359,0.308,0
0.325,0.363,0.312,0
0.326,0.360,0.315,0
0.327,0.356,0.317,0
0.331,0.347,0.322,0
0.341,0.333,0.326,0
0.352,0.317,0.331,0
0.353,0.309,0.338,0
0.350,0.308,0.342,0
0.343,0.304,0.353,0
0.341,0.308,0.352,0
0.359,0.295,0.346,0
0.347,0.307,0.347,0
0.342,0.329,0.329,0
0.330,0.352,0.319,0
0.336,0.362,0.302,0
0.345,0.366,0.289,0
0.347,0.370,0.283,0
0.346,0.372,0.283,0
0.347,0.380,0.272,0
0.350,0.382,0.267,0
0.351,0.382,0.267,0
0.357,0.383,0.260,0
0.364,0.381,0.254,0
0.378,0.374,0.248,0
0.394,0.358,0.248,0
0.414,0.338,0.248,0
0.435,0.321,0.244,0
0.441,0.319,0.239,0
0.440,0.319,0.241,0
0.425,0.329,0.246,0
0.411,0.339,0.250,0
0.401,0.349,0.250,0
0.392,0.362,0.246,0
0.373,0.373,0.255,0
0.353,0.372,0.276,0
0.315,0.371,0.315,0
0.286,0.381,0.333,0
0.284,0.394,0.323,0
0.314,0.387,0.298,0
0.335,0.385,0.280,0
0.351,0.380,0.269,0
0.375,0.368,0.256,0
0.388,0.364,0.248,0
0.395,0.361,0.244,0
0.398,0.360,0.242,0
0.396,0.357,0.247,0
0.393,0.359,0.248,0
0.391,0.362,0.247,0
0.392,0.365,0.243,0
0.387,0.371,0.242,0
0.385,0.367,0.248,0
0.384,0.364,0.253,0
0.378,0.367,0.255,0
0.367,0.367,0.265,0
0.355,0.364,0.280,0
0.339,0.373,0.288,0
0.333,0.370,0.296,0
0.340,0.368,0.292,0
0.349,0.363,0.288,0
0.350,0.357,0.294,0
0.341,0.356,0.303,0
0.325,0.359,0.316,0
0.314,0.362,0.324,0
0.310,0.360,0.330,0
0.313,0.364,0.323,0
0.324,0.362,0.314,0
0.342,0.359,0.299,0
0.358,0.358,0.285,0
0.366,0.359,0.275,0
0.351,0.372,0.277,0
0.355,0.379,0.266,0
0.371,0.371,0.257,0
0.376,0.376,0.247,0
0.378,0.378,0.244,0
0.387,0.375,0.237,0
0.393,0.371,0.236,0
0.386,0.376,0.238,0
0.391,0.374,0.235,0
0.393,0.378,0.230,0
0.398,0.373,0.230,0
0.397,0.370,0.233,0
0.399,0.367,0.234,0
0.398,0.370,0.232,0
0.398,0.372,0.230,0
0.394,0.373,0.233,0
0.394,0.374,0.232,0
0.393,0.376,0.231,0
0.391,0.377,0.232,0
0.386,0.379,0.235,0
0.380,0.384,0.236,0
0.379,0.383,0.239,0
0.375,0.383,0.242,0
0.374,0.383,0.243,0
0.376,0.380,0.245,0
0.377,0.381,0.242,0
0.376,0.380,0.244,0
0.376,0.376,0.248,0
0.379,0.374,0.247,0
0.376,0.376,0.248,0
0.379,0.374,0.246,0
0.382,0.370,0.249,0
0.380,0.373,0.247,0
0.378,0.372,0.250,0
0.365,0.376,0.259,0
0.365,0.374,0.261,0
0.365,0.376,0.259,0
0.363,0.374,0.263,0
0.360,0.376,0.265,0
0.359,0.374,0.267,0
0.357,0.376,0.267,0
0.354,0.379,0.267,0
0.350,0.381,0.269,0
0.349,0.381,0.270,0
0.354,0.379,0.268,0
0.358,0.377,0.265,0
0.365,0.374,0.261,0
0.364,0.373,0.263,0
0.363,0.376,0.261,0
0.363,0.376,0.261,0
0.360,0.377,0.263,0
0.357,0.379,0.264,0
0.356,0.378,0.266,0
0.353,0.376,0.271,0
0.350,0.372,0.279,0
0.348,0.369,0.283,0
0.350,0.367,0.283,0
0.350,0.366,0.284,0
0.349,0.367,0.284,0
0.343,0.366,0.291,0
0.344,0.368,0.288,0
0.344,0.369,0.287,0
0.344,0.371,0.285,0
0.350,0.364,0.286,0
0.351,0.366,0.282,0
0.352,0.368,0.280,0
0.347,0.368,0.285,0
0.352,0.366,0.282,0
0.356,0.364,0.280,0
0.368,0.356,0.276,0
0.390,0.356,0.254,0
0.367,0.354,0.278,0
0.358,0.358,0.284,0
0.353,0.365,0.282,0
0.349,0.360,0.291,0
0.352,0.363,0.286,0
0.350,0.363,0.287,0
0.351,0.364,0.286,0
0.361,0.361,0.278,0
0.365,0.365,0.270,0
0.366,0.366,0.268,0
0.370,0.370,0.260,0
0.358,0.373,0.269,0
0.361,0.377,0.262,0
0.340,0.383,0.277,0
0.324,0.382,0.294,0
0.360,0.360,0.280,0
0.375,0.333,0.292,0
0.364,0.364,0.273,0
0.391,0.348,0.261,0
0.409,0.364,0.227,0
0.429,0.333,0.238,0
0.429,0.333,0.238,0
0.400,0.360,0.240,0
0.407,0.370,0.222,0
0.389,0.361,0.250,0
0.366,0.366,0.268,0
0.370,0.333,0.296,0
0.370,0.315,0.315,0
0.369,0.310,0.321,0
0.366,0.312,0.323,0
0.347,0.327,0.327,0
0.347,0.327,0.327,0
0.341,0.341,0.318,0
0.342,0.342,0.316,0
0.348,0.348,0.304,0
0.379,0.345,0.276,0
0.385,0.346,0.269,0
0.408,0.347,0.245,0
0.417,0.354,0.229,0
0.426,0.340,0.234,0
0.413,0.348,0.239,0
0.422,0.356,0.222,0
0.422,0.356,0.222,0
0.422,0.356,0.222,0
0.422,0.356,0.222,0
0.422,0.356,0.222,0
0.422,0.356,0.222,0
0.413,0.370,0.217,0
0.413,0.370,0.217,0
0.408,0.367,0.224,0
0.415,0.358,0.226,0
0.414,0.362,0.224,0
0.400,0.369,0.231,0
0.395,0.368,0.237,0
0.395,0.372,0.233,0
0.384,0.374,0.242,0
0.387,0.369,0.243,0
0.385,0.369,0.246,0
0.382,0.366,0.252,0
0.382,0.360,0.257,0
0.381,0.360,0.259,0
0.379,0.359,0.262,0
0.378,0.364,0.259,0
0.376,0.369,0.255,0
0.376,0.368,0.256,0
0.374,0.374,0.252,0
0.368,0.377,0.254,0
0.362,0.381,0.257,0
0.361,0.381,0.258,0
0.352,0.386,0.261,0
0.354,0.380,0.266,0
0.361,0.375,0.264,0
0.368,0.382,0.250,0
0.375,0.375,0.250,0
0.383,0.367,0.250,0
0.393,0.375,0.232,0
0.400,0.364,0.236,0
0.397,0.362,0.241,0
0.397,0.365,0.238,0
0.391,0.362,0.246,0
0.378,0.365,0.257,0
0.377,0.364,0.260,0
0.375,0.363,0.262,0
0.368,0.368,0.264,0
0.364,0.364,0.273,0
0.358,0.367,0.275,0
0.359,0.368,0.274,0
0.352,0.369,0.279,0
0.355,0.372,0.273,0
0.347,0.373,0.280,0
0.348,0.375,0.277,0
0.346,0.374,0.280,0
0.347,0.376,0.277,0
0.351,0.371,0.278,0
0.344,0.375,0.281,0
0.344,0.375,0.281,0
0.343,0.374,0.283,0
0.343,0.374,0.283,0
0.343,0.373,0.284,0
0.343,0.371,0.286,0
0.336,0.374,0.290,0
0.339,0.375,0.286,0
0.339,0.374,0.287,0
0.339,0.372,0.289,0
0.336,0.376,0.288,0
0.336,0.375,0.289,0
0.341,0.372,0.287,0
0.336,0.375,0.289,0
0.339,0.378,0.283,0
0.336,0.375,0.289,0
0.339,0.378,0.283,0
0.336,0.375,0.289,0
0.333,0.379,0.288,0
0.336,0.381,0.284,0
0.338,0.376,0.286,0
0.336,0.382,0.282,0
0.333,0.381,0.286,0
0.333,0.382,0.285,0
0.333,0.381,0.286,0
0.333,0.382,0.285,0
0.336,0.388,0.276,0
0.336,0.383,0.280,0
0.337,0.388,0.276,0
0.337,0.391,0.272,0
0.341,0.388,0.271,0
0.337,0.398,0.265,0
0.338,0.390,0.273,0
0.338,0.392,0.270,0
0.338,0.394,0.268,0
0.338,0.394,0.268,0
0.338,0.394,0.268,0
0.343,0.400,0.257,0
0.338,0.400,0.262,0
0.344,0.393,0.262,0
0.357,0.393,0.250,0
0.365,0.385,0.250,0
0.362,0.383,0.255,0
0.381,0.381,0.238,0
0.375,0.375,0.250,0
0.378,0.378,0.243,0
0.389,0.361,0.250,0
0.394,0.364,0.242,0
0.394,0.364,0.242,0
0.389,0.361,0.250,0
0.395,0.368,0.237,0
0.372,0.372,0.256,0
0.365,0.385,0.250,0
0.359,0.391,0.250,0
0.360,0.387,0.253,0
0.361,0.386,0.253,0
0.371,0.382,0.247,0
0.368,0.379,0.253,0
0.367,0.378,0.255,0
0.370,0.380,0.250,0
0.367,0.378,0.255,0
0.367,0.378,0.255,0
0.370,0.380,0.250,0
0.364,0.386,0.250,0
0.356,0.391,0.253,0
0.348,0.393,0.258,0
0.348,0.391,0.261,0
0.340,0.392,0.268,0
0.340,0.388,0.272,0
0.339,0.385,0.275,0
0.339,0.391,0.270,0
0.336,0.385,0.279,0
0.339,0.386,0.276,0
0.341,0.385,0.274,0
0.345,0.380,0.275,0
0.347,0.380,0.273,0
0.350,0.381,0.269,0
0.353,0.377,0.269,0
0.349,0.378,0.273,0
0.353,0.376,0.272,0
0.349,0.378,0.273,0
0.351,0.379,0.270,0
0.350,0.379,0.271,0
0.350,0.378,0.272,0
0.352,0.379,0.269,0
0.352,0.379,0.269,0
0.350,0.383,0.268,0
0.353,0.380,0.266,0
0.353,0.380,0.266,0
0.351,0.378,0.270,0
0.353,0.380,0.267,0
0.357,0.378,0.265,0
0.357,0.379,0.264,0
0.360,0.377,0.263,0
0.358,0.382,0.261,0
0.359,0.376,0.265,0
0.367,0.373,0.260,0
0.362,0.379,0.260,0
0.359,0.380,0.261,0
0.359,0.380,0.261,0
0.357,0.383,0.260,0
0.356,0.381,0.262,0
0.358,0.382,0.259,0
0.359,0.382,0.259,0
0.358,0.381,0.261,0
0.361,0.382,0.258,0
0.358,0.383,0.258,0
0.359,0.383,0.258,0
0.362,0.382,0.256,0
0.358,0.383,0.258,0
0.362,0.379,0.259,0
0.360,0.379,0.262,0
0.358,0.379,0.263,0
0.365,0.376,0.258,0
0.361,0.380,0.259,0
0.366,0.378,0.256,0
0.365,0.380,0.255,0
0.367,0.380,0.253,0
0.367,0.383,0.250,0
0.368,0.381,0.251,0
0.366,0.384,0.250,0
0.364,0.382,0.253,0
0.363,0.382,0.255,0
0.361,0.381,0.257,0
0.360,0.382,0.258,0
0.362,0.380,0.258,0
0.362,0.383,0.255,0
0.370,0.378,0.252,0
0.372,0.381,0.248,0
0.374,0.382,0.244,0
0.366,0.385,0.248,0
0.361,0.385,0.254,0
0.366,0.381,0.252,0
0.379,0.369,0.251,0
0.389,0.362,0.249,0
0.396,0.360,0.245,0
0.411,0.356,0.233,0
0.426,0.340,0.234,0
0.458,0.333,0.208,0
0.400,0.400,0.200,0
0.400,0.371,0.229,0
0.408,0.367,0.224,0
0.394,0.379,0.227,0
0.382,0.393,0.225,0
0.376,0.393,0.231,0
0.375,0.389,0.236,0
0.387,0.380,0.232,0
0.403,0.367,0.230,0
0.419,0.355,0.226,0
0.417,0.354,0.229,0
0.421,0.342,0.237,0
0.421,0.342,0.237,0
0.388,0.367,0.245,0
0.364,0.400,0.236,0
0.360,0.400,0.240,0
0.363,0.395,0.242,0
0.365,0.394,0.241,0
0.364,0.393,0.243,0
0.362,0.399,0.239,0
0.365,0.399,0.236,0
0.372,0.392,0.236,0
0.376,0.389,0.235,0
0.381,0.389,0.230,0
0.386,0.386,0.228,0
0.403,0.377,0.221,0
0.432,0.364,0.205,0
0.462,0.346,0.192,0
0.458,0.333,0.208,0
0.462,0.346,0.192,0
0.448,0.345,0.207,0
0.437,0.344,0.219,0
0.424,0.364,0.212,0
0.417,0.361,0.222,0
0.421,0.368,0.211,0
0.417,0.361,0.222,0
0.429,0.357,0.214,0
0.450,0.350,0.200,0
0.458,0.333,0.208,0
0.444,0.333,0.222,0
0.435,0.348,0.217,0
0.421,0.368,0.211,0
0.467,0.333,0.200,0
0.440,0.360,0.200,0
0.439,0.341,0.220,0
0.418,0.354,0.228,0
0.404,0.368,0.228,0
0.384,0.384,0.232,0
0.367,0.390,0.243,0
0.368,0.389,0.244,0
0.366,0.386,0.248,0
0.370,0.380,0.250,0
0.378,0.372,0.250,0
0.384,0.365,0.251,0
0.385,0.368,0.248,0
0.380,0.372,0.248,0
0.368,0.380,0.252,0
0.364,0.382,0.254,0
0.361,0.381,0.258,0
0.360,0.380,0.261,0
0.358,0.378,0.264,0
0.357,0.378,0.265,0
0.357,0.379,0.264,0
0.358,0.380,0.262,0
0.359,0.379,0.262,0
0.361,0.382,0.256,0
0.363,0.383,0.254,0
0.364,0.383,0.253,0
0.365,0.382,0.253,0
0.367,0.377,0.256,0
0.368,0.375,0.257,0
0.372,0.372,0.256,0
0.371,0.368,0.261,0
0.371,0.367,0.262,0
0.371,0.368,0.261,0
0.369,0.369,0.263,0
0.363,0.373,0.264,0
0.357,0.375,0.268,0
0.355,0.377,0.268,0
0.350,0.376,0.274,0
0.346,0.375,0.279,0
0.340,0.380,0.280,0
0.344,0.376,0.280,0
0.348,0.380,0.272,0
0.351,0.383,0.266,0
0.351,0.381,0.268,0
0.347,0.390,0.263,0
0.349,0.390,0.260,0
0.348,0.385,0.267,0
0.354,0.384,0.263,0
0.360,0.384,0.256,0
0.360,0.385,0.255,0
0.363,0.382,0.255,0
0.363,0.383,0.254,0
0.368,0.381,0.251,0
0.372,0.378,0.250,0
0.376,0.376,0.248,0
0.382,0.372,0.246,0
0.385,0.372,0.243,0
0.387,0.372,0.241,0
0.389,0.374,0.237,0
0.387,0.375,0.238,0
0.385,0.373,0.242,0
0.385,0.372,0.242,0
0.387,0.369,0.243,0
0.385,0.371,0.244,0
0.385,0.370,0.245,0
0.382,0.371,0.247,0
0.385,0.368,0.247,0
0.384,0.372,0.244,0
0.386,0.373,0.242,0
0.400,0.366,0.234,0
0.400,0.363,0.237,0
0.407,0.358,0.236,0
0.409,0.355,0.236,0
0.410,0.350,0.240,0
0.396,0.354,0.250,0
0.384,0.364,0.253,0
0.371,0.371,0.257,0
0.352,0.385,0.262,0
0.352,0.386,0.262,0
0.357,0.381,0.262,0
0.354,0.384,0.263,0
0.359,0.381,0.260,0
0.361,0.382,0.256,0
0.364,0.381,0.255,0
0.364,0.381,0.254,0
0.363,0.385,0.252,0
0.357,0.385,0.258,0
0.350,0.390,0.260,0
0.348,0.393,0.259,0
0.346,0.392,0.263,0
0.355,0.392,0.253,0
0.359,0.388,0.253,0
0.365,0.384,0.251,0
0.371,0.383,0.246,0
0.376,0.382,0.242,0
0.377,0.384,0.239,0
0.379,0.383,0.239,0
0.380,0.380,0.239,0
0.381,0.381,0.238,0
0.380,0.380,0.239,0
0.378,0.382,0.240,0
0.377,0.383,0.240,0
0.376,0.382,0.241,0
0.376,0.381,0.243,0
0.376,0.381,0.243,0
0.373,0.383,0.244,0
0.375,0.382,0.243,0
0.377,0.382,0.242,0
0.380,0.380,0.240,0
0.381,0.379,0.240,0
0.385,0.379,0.236,0
0.384,0.381,0.235,0
0.378,0.384,0.238,0
0.373,0.387,0.240,0
0.369,0.389,0.243,0
0.368,0.387,0.245,0
0.370,0.384,0.245,0
0.372,0.382,0.247,0
0.374,0.379,0.246,0
0.376,0.378,0.246,0
0.377,0.377,0.247,0
0.379,0.372,0.248,0
0.382,0.371,0.247,0
0.383,0.368,0.249,0
0.382,0.369,0.249,0
0.382,0.369,0.249,0
0.380,0.372,0.248,0
0.379,0.374,0.247,0
0.379,0.376,0.245,0
0.380,0.377,0.244,0
0.380,0.380,0.241,0
0.385,0.379,0.236,0
0.387,0.379,0.234,0
0.388,0.379,0.233,0
0.388,0.379,0.234,0
0.386,0.380,0.234,0
0.386,0.380,0.234,0
0.382,0.382,0.236,0
0.378,0.385,0.237,0
0.374,0.388,0.238,0
0.372,0.390,0.238,0
0.373,0.392,0.236,0
0.373,0.392,0.235,0
0.377,0.389,0.234,0
0.378,0.390,0.233,0
0.377,0.389,0.234,0
0.376,0.388,0.235,0
0.379,0.387,0.234,0
0.378,0.385,0.236,0
0.380,0.383,0.236,0
0.384,0.381,0.235,0
0.385,0.380,0.235,0
0.383,0.380,0.237,0
0.382,0.382,0.237,0
0.383,0.380,0.237,0
0.383,0.380,0.237,0
0.382,0.379,0.238,0
0.376,0.382,0.241,0
0.372,0.385,0.243,0
0.371,0.388,0.241,0
0.369,0.392,0.240,0
0.374,0.388,0.238,0
0.377,0.387,0.237,0
0.382,0.382,0.235,0
0.383,0.380,0.237,0
0.385,0.379,0.236,0
0.385,0.378,0.237,0
0.386,0.376,0.237,0
0.385,0.377,0.237,0
0.382,0.379,0.239,0
0.379,0.382,0.239,0
0.377,0.382,0.241,0
0.376,0.384,0.241,0
0.375,0.383,0.242,0
0.377,0.383,0.240,0
0.374,0.387,0.239,0
0.373,0.387,0.239,0
0.370,0.388,0.243,0
0.369,0.388,0.243,0
0.366,0.387,0.247,0
0.372,0.385,0.242,0
0.376,0.384,0.240,0
0.380,0.384,0.236,0
0.379,0.383,0.237,0
0.380,0.388,0.233,0
0.379,0.387,0.235,0
0.382,0.382,0.236,0
0.384,0.384,0.232,0
0.387,0.382,0.231,0
0.387,0.387,0.227,0
0.390,0.383,0.227,0
0.391,0.377,0.232,0
0.388,0.381,0.231,0
0.393,0.378,0.230,0
0.388,0.381,0.231,0
0.389,0.381,0.230,0
0.393,0.377,0.230,0
0.391,0.383,0.226,0
0.388,0.379,0.233,0
0.390,0.381,0.229,0
0.394,0.375,0.231,0
0.398,0.378,0.224,0
0.398,0.378,0.224,0
0.394,0.384,0.222,0
0.398,0.378,0.224,0
0.406,0.376,0.218,0
0.402,0.380,0.217,0
0.410,0.373,0.217,0
0.412,0.375,0.213,0
0.412,0.376,0.212,0
0.405,0.381,0.214,0
0.402,0.381,0.216,0
0.400,0.382,0.218,0
0.393,0.385,0.222,0
0.385,0.385,0.230,0
0.388,0.376,0.236,0
0.390,0.370,0.240,0
0.394,0.367,0.239,0
0.397,0.363,0.241,0
0.395,0.368,0.237,0
0.392,0.373,0.236,0
0.379,0.379,0.241,0
0.373,0.384,0.243,0
0.370,0.387,0.243,0
0.369,0.386,0.246,0
0.368,0.386,0.245,0
0.365,0.389,0.246,0
0.366,0.387,0.247,0
0.371,0.390,0.239,0
0.370,0.393,0.237,0
0.377,0.385,0.238,0
0.377,0.387,0.236,0
0.373,0.391,0.236,0
0.364,0.391,0.245,0
0.354,0.385,0.260,0
0.329,0.395,0.276,0
0.300,0.400,0.300,0
0.278,0.389,0.333,0
0.259,0.370,0.370,0
0.276,0.379,0.345,0
0.286,0.405,0.310,0
0.319,0.391,0.290,0
0.340,0.390,0.270,0
0.346,0.394,0.260,0
0.350,0.398,0.252,0
0.348,0.394,0.258,0
0.348,0.397,0.255,0
0.342,0.397,0.260,0
0.338,0.397,0.265,0
0.331,0.399,0.270,0
0.317,0.405,0.278,0
0.337,0.386,0.277,0
0.340,0.387,0.274,0
0.345,0.381,0.274,0
0.349,0.381,0.270,0
0.354,0.377,0.269,0
0.357,0.378,0.266,0
0.366,0.373,0.261,0
0.367,0.374,0.259,0
0.366,0.373,0.261,0
0.367,0.373,0.260,0
0.368,0.375,0.257,0
0.366,0.380,0.254,0
0.365,0.380,0.255,0
0.366,0.382,0.252,0
0.371,0.379,0.250,0
0.373,0.373,0.254,0
0.381,0.371,0.248,0
0.385,0.375,0.240,0
0.393,0.369,0.238,0
0.385,0.374,0.242,0
0.383,0.372,0.245,0
0.387,0.368,0.245,0
0.386,0.368,0.246,0
0.383,0.367,0.250,0
0.380,0.372,0.248,0
0.379,0.371,0.250,0
0.383,0.368,0.248,0
0.382,0.366,0.252,0
0.387,0.365,0.248,0
0.393,0.363,0.244,0
0.389,0.368,0.243,0
0.387,0.367,0.247,0
0.394,0.368,0.239,0
0.392,0.368,0.240,0
0.394,0.367,0.239,0
0.396,0.365,0.240,0
0.397,0.366,0.237,0
0.395,0.369,0.236,0
0.395,0.367,0.237,0
0.392,0.372,0.236,0
0.393,0.372,0.234,0
0.394,0.370,0.236,0
0.391,0.374,0.235,0
0.394,0.370,0.236,0
0.395,0.372,0.233,0
0.396,0.368,0.236,0
0.389,0.376,0.235,0
0.392,0.371,0.238,0
0.396,0.373,0.231,0
0.397,0.371,0.233,0
0.393,0.375,0.232,0
0.394,0.376,0.229,0
0.393,0.374,0.234,0
0.396,0.377,0.226,0
0.393,0.374,0.234,0
0.393,0.376,0.231,0
0.383,0.383,0.233,0
0.379,0.386,0.236,0
0.373,0.387,0.239,0
0.369,0.392,0.238,0
0.363,0.393,0.244,0
0.362,0.391,0.246,0
0.359,0.394,0.246,0
0.358,0.394,0.248,0
0.356,0.391,0.253,0
0.362,0.397,0.241,0
0.375,0.375,0.250,0
0.391,0.348,0.261,0
0.411,0.339,0.250,0
0.419,0.338,0.243,0
0.415,0.345,0.239,0
0.407,0.352,0.241,0
0.394,0.365,0.241,0
0.388,0.373,0.238,0
0.380,0.380,0.240,0
0.374,0.385,0.242,0
0.374,0.385,0.242,0
0.371,0.386,0.243,0
0.369,0.384,0.246,0
0.372,0.383,0.245,0
0.371,0.383,0.246,0
0.373,0.381,0.246,0
0.372,0.381,0.248,0
0.372,0.383,0.245,0
0.374,0.385,0.242,0
0.373,0.382,0.245,0
0.374,0.383,0.243,0
0.374,0.383,0.243,0
0.372,0.381,0.247,0
0.372,0.380,0.248,0
0.369,0.382,0.249,0
0.369,0.382,0.249,0
0.369,0.384,0.247,0
0.369,0.384,0.247,0
0.371,0.381,0.249,0
0.369,0.379,0.251,0
0.367,0.377,0.256,0
0.363,0.379,0.258,0
0.362,0.378,0.259,0
0.360,0.376,0.263,0
0.358,0.374,0.267,0
0.356,0.372,0.271,0
0.360,0.370,0.270,0
0.364,0.369,0.267,0
0.368,0.368,0.264,0
0.374,0.364,0.262,0
0.380,0.361,0.259,0
0.389,0.357,0.253,0
0.393,0.355,0.252,0
0.398,0.358,0.244,0
0.401,0.355,0.244,0
0.401,0.354,0.245,0
0.400,0.354,0.246,0
0.398,0.352,0.250,0
0.391,0.355,0.254,0
0.384,0.357,0.259,0
0.370,0.366,0.265,0
0.337,0.381,0.282,0
0.324,0.390,0.287,0
0.327,0.385,0.288,0
0.338,0.377,0.286,0
0.338,0.369,0.292,0
0.345,0.364,0.291,0
0.357,0.357,0.286,0
0.371,0.343,0.286,0
0.394,0.333,0.273,0
0.406,0.344,0.250,0
0.406,0.344,0.250,0
0.406,0.344,0.250,0
0.400,0.343,0.257,0
0.400,0.343,0.257,0
0.400,0.343,0.257,0
0.400,0.343,0.257,0
0.405,0.351,0.243,0
0.390,0.366,0.244,0
0.381,0.381,0.238,0
0.381,0.381,0.238,0
0.386,0.386,0.227,0
0.370,0.391,0.239,0
0.378,0.378,0.244,0
0.372,0.395,0.233,0
0.381,0.381,0.238,0
0.390,0.390,0.220,0
0.385,0.385,0.231,0
0.385,0.385,0.231,0
0.395,0.368,0.237,0
0.405,0.378,0.216,0
0.417,0.361,0.222,0
