Red,Green,Blue,RedRatio,GreenRatio,BlueRatio,Class
99,109,78,0.346,0.381,0.273,0
98,108,78,0.345,0.380,0.275,0
95,104,76,0.345,0.378,0.276,0
89,98,73,0.342,0.377,0.281,0
84,92,69,0.343,0.376,0.282,0
80,89,66,0.340,0.379,0.281,0
77,86,64,0.339,0.379,0.282,0
73,82,62,0.336,0.378,0.286,0
69,77,59,0.337,0.376,0.288,0
62,70,54,0.333,0.376,0.290,0
59,66,51,0.335,0.375,0.290,0
54,59,46,0.340,0.371,0.289,0
49,54,41,0.340,0.375,0.285,0
48,53,39,0.343,0.379,0.279,0
45,49,36,0.346,0.377,0.277,0
43,46,33,0.352,0.377,0.270,0
44,46,33,0.358,0.374,0.268,0
45,47,33,0.360,0.376,0.264,0
46,48,33,0.362,0.378,0.260,0
48,50,34,0.364,0.379,0.258,0
50,52,35,0.365,0.380,0.255,0
52,54,37,0.364,0.378,0.259,0
56,57,40,0.366,0.373,0.261,0
58,62,43,0.356,0.380,0.264,0
60,64,46,0.353,0.376,0.271,0
61,68,49,0.343,0.382,0.275,0
62,69,52,0.339,0.377,0.284,0
63,70,54,0.337,0.374,0.289,0
62,69,53,0.337,0.375,0.288,0
61,67,52,0.339,0.372,0.289,0
58,64,49,0.339,0.374,0.287,0
57,62,47,0.343,0.373,0.283,0
54,60,45,0.340,0.377,0.283,0
53,60,45,0.335,0.380,0.285,0
54,60,45,0.340,0.377,0.283,0
52,58,44,0.338,0.377,0.286,0
52,58,44,0.338,0.377,0.286,0
51,57,43,0.338,0.377,0.285,0
50,55,41,0.342,0.377,0.281,0
50,56,42,0.338,0.378,0.284,0
54,60,45,0.340,0.377,0.283,0
59,65,49,0.341,0.376,0.283,0
62,68,51,0.343,0.376,0.282,0
65,70,54,0.344,0.370,0.286,0
66,71,55,0.344,0.370,0.286,0
66,70,54,0.347,0.368,0.284,0
65,68,52,0.351,0.368,0.281,0
62,64,49,0.354,0.366,0.280,0
59,59,45,0.362,0.362,0.276,0
56,56,42,0.364,0.364,0.273,0
52,50,37,0.374,0.360,0.266,0
47,44,33,0.379,0.355,0.266,0
39,37,27,0.379,0.359,0.262,0
32,29,22,0.386,0.349,0.265,0
27,25,18,0.386,0.357,0.257,0
24,22,16,0.387,0.355,0.258,0
22,21,16,0.373,0.356,0.271,0
22,22,17,0.361,0.361,0.279,0
23,23,18,0.359,0.359,0.281,0
24,24,20,0.353,0.353,0.294,0
24,26,21,0.338,0.366,0.296,0
25,27,23,0.333,0.360,0.307,0
26,28,24,0.333,0.359,0.308,0
26,29,25,0.325,0.363,0.312,0
29,32,28,0.326,0.360,0.315,0
33,36,32,0.327,0.356,0.317,0
39,41,38,0.331,0.347,0.322,0
45,44,43,0.341,0.333,0.326,0
50,45,47,0.352,0.317,0.331,0
48,42,46,0.353,0.309,0.338,0
42,37,41,0.350,0.308,0.342,0
35,31,36,0.343,0.304,0.353,0
31,28,32,0.341,0.308,0.352,0
28,23,27,0.359,0.295,0.346,0
26,23,26,0.347,0.307,0.347,0
27,26,26,0.342,0.329,0.329,0
30,32,29,0.330,0.352,0.319,0
39,42,35,0.336,0.362,0.302,0
49,52,41,0.345,0.366,0.289,0
60,64,49,0.347,0.370,0.283,0
66,71,54,0.346,0.372,0.283,0
74,81,58,0.347,0.380,0.272,0
76,83,58,0.350,0.382,0.267,0
79,86,60,0.351,0.382,0.267,0
84,90,61,0.357,0.383,0.260,0
86,90,60,0.364,0.381,0.254,0
90,89,59,0.378,0.374,0.248,0
89,81,56,0.394,0.358,0.248,0
87,71,52,0.414,0.338,0.248,0
84,62,47,0.435,0.321,0.244,0
83,60,45,0.441,0.319,0.239,0
84,61,46,0.440,0.319,0.241,0
88,68,51,0.425,0.329,0.246,0
92,76,56,0.411,0.339,0.250,0
93,81,58,0.401,0.349,0.250,0
91,84,57,0.392,0.362,0.246,0
79,79,54,0.373,0.373,0.255,0
55,58,43,0.353,0.372,0.276,0
39,46,39,0.315,0.371,0.315,0
36,48,42,0.286,0.381,0.333,0
44,61,50,0.284,0.394,0.323,0
60,74,57,0.314,0.387,0.298,0
73,84,61,0.335,0.385,0.280,0
86,93,66,0.351,0.380,0.269,0
104,102,71,0.375,0.368,0.256,0
114,107,73,0.388,0.364,0.248,0
115,105,71,0.395,0.361,0.244,0
105,95,64,0.398,0.360,0.242,0
93,84,58,0.396,0.357,0.247,0
81,74,51,0.393,0.359,0.248,0
68,63,43,0.391,0.362,0.247,0
58,54,36,0.392,0.365,0.243,0
48,46,30,0.387,0.371,0.242,0
42,40,27,0.385,0.367,0.248,0
38,36,25,0.384,0.364,0.253,0
37,36,25,0.378,0.367,0.255,0
36,36,26,0.367,0.367,0.265,0
38,39,30,0.355,0.364,0.280,0
40,44,34,0.339,0.373,0.288,0
45,50,40,0.333,0.370,0.296,0
49,53,42,0.340,0.368,0.292,0
51,53,42,0.349,0.363,0.288,0
50,51,42,0.350,0.357,0.294,0
45,47,40,0.341,0.356,0.303,0
38,42,37,0.325,0.359,0.316,0
33,38,34,0.314,0.362,0.324,0
31,36,33,0.310,0.360,0.330,0
31,36,32,0.313,0.364,0.323,0
34,38,33,0.324,0.362,0.314,0
40,42,35,0.342,0.359,0.299,0
49,49,39,0.358,0.358,0.285,0
56,55,42,0.366,0.359,0.275,0
52,55,41,0.351,0.372,0.277,0
44,47,33,0.355,0.379,0.266,0
39,39,27,0.371,0.371,0.257,0
35,35,23,0.376,0.376,0.247,0
31,31,20,0.378,0.378,0.244,0
31,30,19,0.387,0.375,0.237,0
35,33,21,0.393,0.371,0.236,0
39,38,24,0.386,0.376,0.238,0
45,43,27,0.391,0.374,0.235,0
53,51,31,0.393,0.378,0.230,0
64,60,37,0.398,0.373,0.230,0
75,70,44,0.397,0.370,0.233,0
87,80,51,0.399,0.367,0.234,0
98,91,57,0.398,0.370,0.232,0
107,100,62,0.398,0.372,0.230,0
113,107,67,0.394,0.373,0.233,0
117,111,69,0.394,0.374,0.232,0
119,114,70,0.393,0.376,0.231,0
118,114,70,0.391,0.377,0.232,0
115,113,70,0.386,0.379,0.235,0
108,109,67,0.380,0.384,0.236,0
100,101,63,0.379,0.383,0.239,0
90,92,58,0.375,0.383,0.242,0
86,88,56,0.374,0.383,0.243,0
89,90,58,0.376,0.380,0.245,0
98,99,63,0.377,0.381,0.242,0
97,98,63,0.376,0.380,0.244,0
91,91,60,0.376,0.376,0.248,0
89,88,58,0.379,0.374,0.247,0
88,88,58,0.376,0.376,0.248,0
80,79,52,0.379,0.374,0.246,0
66,64,43,0.382,0.370,0.249,0
60,59,39,0.380,0.373,0.247,0
62,61,41,0.378,0.372,0.250,0
72,74,51,0.365,0.376,0.259,0
81,83,58,0.365,0.374,0.261,0
69,71,49,0.365,0.376,0.259,0
65,67,47,0.363,0.374,0.263,0
68,71,50,0.360,0.376,0.265,0
74,77,55,0.359,0.374,0.267,0
75,79,56,0.357,0.376,0.267,0
73,78,55,0.354,0.379,0.267,0
69,75,53,0.350,0.381,0.269,0
66,72,51,0.349,0.381,0.270,0
70,75,53,0.354,0.379,0.268,0
77,81,57,0.358,0.377,0.265,0
81,83,58,0.365,0.374,0.261,0
83,85,60,0.364,0.373,0.263,0
85,88,61,0.363,0.376,0.261,0
85,88,61,0.363,0.376,0.261,0
85,89,62,0.360,0.377,0.263,0
84,89,62,0.357,0.379,0.264,0
83,88,62,0.356,0.378,0.266,0
78,83,60,0.353,0.376,0.271,0
64,68,51,0.350,0.372,0.279,0
65,69,53,0.348,0.369,0.283,0
63,66,51,0.350,0.367,0.283,0
64,67,52,0.350,0.366,0.284,0
59,62,48,0.349,0.367,0.284,0
59,63,50,0.343,0.366,0.291,0
56,60,47,0.344,0.368,0.288,0
55,59,46,0.344,0.369,0.287,0
52,56,43,0.344,0.371,0.285,0
49,51,40,0.350,0.364,0.286,0
46,48,37,0.351,0.366,0.282,0
44,46,35,0.352,0.368,0.280,0
50,53,41,0.347,0.368,0.285,0
50,52,40,0.352,0.366,0.282,0
42,43,33,0.356,0.364,0.280,0
32,31,24,0.368,0.356,0.276,0
23,21,15,0.390,0.356,0.254,0
29,28,22,0.367,0.354,0.278,0
29,29,23,0.358,0.358,0.284,0
30,31,24,0.353,0.365,0.282,0
30,31,25,0.349,0.360,0.291,0
32,33,26,0.352,0.363,0.286,0
28,29,23,0.350,0.363,0.287,0
27,28,22,0.351,0.364,0.286,0
26,26,20,0.361,0.361,0.278,0
27,27,20,0.365,0.365,0.270,0
26,26,19,0.366,0.366,0.268,0
27,27,19,0.370,0.370,0.260,0
24,25,18,0.358,0.373,0.269,0
22,23,16,0.361,0.377,0.262,0
16,18,13,0.340,0.383,0.277,0
11,13,10,0.324,0.382,0.294,0
9,9,7,0.360,0.360,0.280,0
9,8,7,0.375,0.333,0.292,0
8,8,6,0.364,0.364,0.273,0
9,8,6,0.391,0.348,0.261,0
9,8,5,0.409,0.364,0.227,0
9,7,5,0.429,0.333,0.238,0
9,7,5,0.429,0.333,0.238,0
10,9,6,0.400,0.360,0.240,0
11,10,6,0.407,0.370,0.222,0
14,13,9,0.389,0.361,0.250,0
15,15,11,0.366,0.366,0.268,0
20,18,16,0.370,0.333,0.296,0
27,23,23,0.370,0.315,0.315,0
31,26,27,0.369,0.310,0.321,0
34,29,30,0.366,0.312,0.323,0
34,32,32,0.347,0.327,0.327,0
34,32,32,0.347,0.327,0.327,0
30,30,28,0.341,0.341,0.318,0
26,26,24,0.342,0.342,0.316,0
24,24,21,0.348,0.348,0.304,0
22,20,16,0.379,0.345,0.276,0
20,18,14,0.385,0.346,0.269,0
20,17,12,0.408,0.347,0.245,0
20,17,11,0.417,0.354,0.229,0
20,16,11,0.426,0.340,0.234,0
19,16,11,0.413,0.348,0.239,0
19,16,10,0.422,0.356,0.222,0
19,16,10,0.422,0.356,0.222,0
19,16,10,0.422,0.356,0.222,0
19,16,10,0.422,0.356,0.222,0
19,16,10,0.422,0.356,0.222,0
19,16,10,0.422,0.356,0.222,0
19,17,10,0.413,0.370,0.217,0
19,17,10,0.413,0.370,0.217,0
20,18,11,0.408,0.367,0.224,0
22,19,12,0.415,0.358,0.226,0
24,21,13,0.414,0.362,0.224,0
26,24,15,0.400,0.369,0.231,0
30,28,18,0.395,0.368,0.237,0
34,32,20,0.395,0.372,0.233,0
38,37,24,0.384,0.374,0.242,0
43,41,27,0.387,0.369,0.243,0
47,45,30,0.385,0.369,0.246,0
50,48,33,0.382,0.366,0.252,0
52,49,35,0.382,0.360,0.257,0
53,50,36,0.381,0.360,0.259,0
55,52,38,0.379,0.359,0.262,0
54,52,37,0.378,0.364,0.259,0
53,52,36,0.376,0.369,0.255,0
50,49,34,0.376,0.368,0.256,0
46,46,31,0.374,0.374,0.252,0
42,43,29,0.368,0.377,0.254,0
38,40,27,0.362,0.381,0.257,0
35,37,25,0.361,0.381,0.258,0
31,34,23,0.352,0.386,0.261,0
28,30,21,0.354,0.380,0.266,0
26,27,19,0.361,0.375,0.264,0
25,26,17,0.368,0.382,0.250,0
24,24,16,0.375,0.375,0.250,0
23,22,15,0.383,0.367,0.250,0
22,21,13,0.393,0.375,0.232,0
22,20,13,0.400,0.364,0.236,0
23,21,14,0.397,0.362,0.241,0
25,23,15,0.397,0.365,0.238,0
27,25,17,0.391,0.362,0.246,0
28,27,19,0.378,0.365,0.257,0
29,28,20,0.377,0.364,0.260,0
30,29,21,0.375,0.363,0.262,0
32,32,23,0.368,0.368,0.264,0
36,36,27,0.364,0.364,0.273,0
39,40,30,0.358,0.367,0.275,0
42,43,32,0.359,0.368,0.274,0
43,45,34,0.352,0.369,0.279,0
43,45,33,0.355,0.372,0.273,0
41,44,33,0.347,0.373,0.280,0
39,42,31,0.348,0.375,0.277,0
37,40,30,0.346,0.374,0.280,0
35,38,28,0.347,0.376,0.277,0
34,36,27,0.351,0.371,0.278,0
33,36,27,0.344,0.375,0.281,0
33,36,27,0.344,0.375,0.281,0
34,37,28,0.343,0.374,0.283,0
34,37,28,0.343,0.374,0.283,0
35,38,29,0.343,0.373,0.284,0
36,39,30,0.343,0.371,0.286,0
36,40,31,0.336,0.374,0.290,0
38,42,32,0.339,0.375,0.286,0
39,43,33,0.339,0.374,0.287,0
41,45,35,0.339,0.372,0.289,0
42,47,36,0.336,0.376,0.288,0
43,48,37,0.336,0.375,0.289,0
44,48,37,0.341,0.372,0.287,0
43,48,37,0.336,0.375,0.289,0
43,48,36,0.339,0.378,0.283,0
43,48,37,0.336,0.375,0.289,0
43,48,36,0.339,0.378,0.283,0
43,48,37,0.336,0.375,0.289,0
44,50,38,0.333,0.379,0.288,0
45,51,38,0.336,0.381,0.284,0
45,50,38,0.338,0.376,0.286,0
44,50,37,0.336,0.382,0.282,0
42,48,36,0.333,0.381,0.286,0
41,47,35,0.333,0.382,0.285,0
42,48,36,0.333,0.381,0.286,0
41,47,35,0.333,0.382,0.285,0
39,45,32,0.336,0.388,0.276,0
36,41,30,0.336,0.383,0.280,0
33,38,27,0.337,0.388,0.276,0
31,36,25,0.337,0.391,0.272,0
29,33,23,0.341,0.388,0.271,0
28,33,22,0.337,0.398,0.265,0
26,30,21,0.338,0.390,0.273,0
25,29,20,0.338,0.392,0.270,0
24,28,19,0.338,0.394,0.268,0
24,28,19,0.338,0.394,0.268,0
24,28,19,0.338,0.394,0.268,0
24,28,18,0.343,0.400,0.257,0
22,26,17,0.338,0.400,0.262,0
21,24,16,0.344,0.393,0.262,0
20,22,14,0.357,0.393,0.250,0
19,20,13,0.365,0.385,0.250,0
17,18,12,0.362,0.383,0.255,0
16,16,10,0.381,0.381,0.238,0
15,15,10,0.375,0.375,0.250,0
14,14,9,0.378,0.378,0.243,0
14,13,9,0.389,0.361,0.250,0
13,12,8,0.394,0.364,0.242,0
13,12,8,0.394,0.364,0.242,0
14,13,9,0.389,0.361,0.250,0
15,14,9,0.395,0.368,0.237,0
16,16,11,0.372,0.372,0.256,0
19,20,13,0.365,0.385,0.250,0
23,25,16,0.359,0.391,0.250,0
27,29,19,0.360,0.387,0.253,0
30,32,21,0.361,0.386,0.253,0
33,34,22,0.371,0.382,0.247,0
35,36,24,0.368,0.379,0.253,0
36,37,25,0.367,0.378,0.255,0
37,38,25,0.370,0.380,0.250,0
36,37,25,0.367,0.378,0.255,0
36,37,25,0.367,0.378,0.255,0
34,35,23,0.370,0.380,0.250,0
32,34,22,0.364,0.386,0.250,0
31,34,22,0.356,0.391,0.253,0
31,35,23,0.348,0.393,0.258,0
32,36,24,0.348,0.391,0.261,0
33,38,26,0.340,0.392,0.268,0
35,40,28,0.340,0.388,0.272,0
37,42,30,0.339,0.385,0.275,0
39,45,31,0.339,0.391,0.270,0
41,47,34,0.336,0.385,0.279,0
43,49,35,0.339,0.386,0.276,0
46,52,37,0.341,0.385,0.274,0
49,54,39,0.345,0.380,0.275,0
52,57,41,0.347,0.380,0.273,0
56,61,43,0.350,0.381,0.269,0
59,63,45,0.353,0.377,0.269,0
60,65,47,0.349,0.378,0.273,0
61,65,47,0.353,0.376,0.272,0
60,65,47,0.349,0.378,0.273,0
61,66,47,0.351,0.379,0.270,0
62,67,48,0.350,0.379,0.271,0
63,68,49,0.350,0.378,0.272,0
64,69,49,0.352,0.379,0.269,0
64,69,49,0.352,0.379,0.269,0
64,70,49,0.350,0.383,0.268,0
65,70,49,0.353,0.380,0.266,0
65,70,49,0.353,0.380,0.266,0
65,70,50,0.351,0.378,0.270,0
66,71,50,0.353,0.380,0.267,0
66,70,49,0.357,0.378,0.265,0
65,69,48,0.357,0.379,0.264,0
63,66,46,0.360,0.377,0.263,0
59,63,43,0.358,0.382,0.261,0
61,64,45,0.359,0.376,0.265,0
62,63,44,0.367,0.373,0.260,0
64,67,46,0.362,0.379,0.260,0
66,70,48,0.359,0.380,0.261,0
66,70,48,0.359,0.380,0.261,0
70,75,51,0.357,0.383,0.260,0
72,77,53,0.356,0.381,0.262,0
76,81,55,0.358,0.382,0.259,0
79,84,57,0.359,0.382,0.259,0
81,86,59,0.358,0.381,0.261,0
84,89,60,0.361,0.382,0.258,0
86,92,62,0.358,0.383,0.258,0
89,95,64,0.359,0.383,0.258,0
89,94,63,0.362,0.382,0.256,0
86,92,62,0.358,0.383,0.258,0
81,85,58,0.362,0.379,0.259,0
77,81,56,0.360,0.379,0.262,0
68,72,50,0.358,0.379,0.263,0
65,67,46,0.365,0.376,0.258,0
60,63,43,0.361,0.380,0.259,0
63,65,44,0.366,0.378,0.256,0
70,73,49,0.365,0.380,0.255,0
81,84,56,0.367,0.380,0.253,0
88,92,60,0.367,0.383,0.250,0
88,91,60,0.368,0.381,0.251,0
85,89,58,0.366,0.384,0.250,0
79,83,55,0.364,0.382,0.253,0
77,81,54,0.363,0.382,0.255,0
73,77,52,0.361,0.381,0.257,0
64,68,46,0.360,0.382,0.258,0
59,62,42,0.362,0.380,0.258,0
54,57,38,0.362,0.383,0.255,0
44,45,30,0.370,0.378,0.252,0
42,43,28,0.372,0.381,0.248,0
49,50,32,0.374,0.382,0.244,0
59,62,40,0.366,0.385,0.248,0
74,79,52,0.361,0.385,0.254,0
74,77,51,0.366,0.381,0.252,0
74,72,49,0.379,0.369,0.251,0
72,67,46,0.389,0.362,0.249,0
55,50,34,0.396,0.360,0.245,0
37,32,21,0.411,0.356,0.233,0
20,16,11,0.426,0.340,0.234,0
11,8,5,0.458,0.333,0.208,0
6,6,3,0.400,0.400,0.200,0
14,13,8,0.400,0.371,0.229,0
20,18,11,0.408,0.367,0.224,0
26,25,15,0.394,0.379,0.227,0
34,35,20,0.382,0.393,0.225,0
44,46,27,0.376,0.393,0.231,0
54,56,34,0.375,0.389,0.236,0
55,54,33,0.387,0.380,0.232,0
56,51,32,0.403,0.367,0.230,0
39,33,21,0.419,0.355,0.226,0
20,17,11,0.417,0.354,0.229,0
16,13,9,0.421,0.342,0.237,0
16,13,9,0.421,0.342,0.237,0
19,18,12,0.388,0.367,0.245,0
20,22,13,0.364,0.400,0.236,0
36,40,24,0.360,0.400,0.240,0
45,49,30,0.363,0.395,0.242,0
50,54,33,0.365,0.394,0.241,0
51,55,34,0.364,0.393,0.243,0
50,55,33,0.362,0.399,0.239,0
54,59,35,0.365,0.399,0.236,0
55,58,35,0.372,0.392,0.236,0
56,58,35,0.376,0.389,0.235,0
48,49,29,0.381,0.389,0.230,0
44,44,26,0.386,0.386,0.228,0
31,29,17,0.403,0.377,0.221,0
19,16,9,0.432,0.364,0.205,0
12,9,5,0.462,0.346,0.192,0
11,8,5,0.458,0.333,0.208,0
12,9,5,0.462,0.346,0.192,0
13,10,6,0.448,0.345,0.207,0
14,11,7,0.437,0.344,0.219,0
14,12,7,0.424,0.364,0.212,0
15,13,8,0.417,0.361,0.222,0
16,14,8,0.421,0.368,0.211,0
15,13,8,0.417,0.361,0.222,0
12,10,6,0.429,0.357,0.214,0
9,7,4,0.450,0.350,0.200,0
11,8,5,0.458,0.333,0.208,0
12,9,6,0.444,0.333,0.222,0
10,8,5,0.435,0.348,0.217,0
8,7,4,0.421,0.368,0.211,0
7,5,3,0.467,0.333,0.200,0
11,9,5,0.440,0.360,0.200,0
18,14,9,0.439,0.341,0.220,0
33,28,18,0.418,0.354,0.228,0
46,42,26,0.404,0.368,0.228,0
58,58,35,0.384,0.384,0.232,0
65,69,43,0.367,0.390,0.243,0
71,75,47,0.368,0.389,0.244,0
74,78,50,0.366,0.386,0.248,0
68,70,46,0.370,0.380,0.250,0
71,70,47,0.378,0.372,0.250,0
81,77,53,0.384,0.365,0.251,0
90,86,58,0.385,0.368,0.248,0
98,96,64,0.380,0.372,0.248,0
98,101,67,0.368,0.380,0.252,0
103,108,72,0.364,0.382,0.254,0
109,115,78,0.361,0.381,0.258,0
109,115,79,0.360,0.380,0.261,0
107,113,79,0.358,0.378,0.264,0
104,110,77,0.357,0.378,0.265,0
100,106,74,0.357,0.379,0.264,0
97,103,71,0.358,0.380,0.262,0
92,97,67,0.359,0.379,0.262,0
86,91,61,0.361,0.382,0.256,0
87,92,61,0.363,0.383,0.254,0
95,100,66,0.364,0.383,0.253,0
108,113,75,0.365,0.382,0.253,0
116,119,81,0.367,0.377,0.256,0
119,121,83,0.368,0.375,0.257,0
119,119,82,0.372,0.372,0.256,0
115,114,81,0.371,0.368,0.261,0
109,108,77,0.371,0.367,0.262,0
101,100,71,0.371,0.368,0.261,0
87,87,62,0.369,0.369,0.263,0
73,75,53,0.363,0.373,0.264,0
60,63,45,0.357,0.375,0.268,0
49,52,37,0.355,0.377,0.268,0
41,44,32,0.350,0.376,0.274,0
36,39,29,0.346,0.375,0.279,0
34,38,28,0.340,0.380,0.280,0
32,35,26,0.344,0.376,0.280,0
32,35,25,0.348,0.380,0.272,0
33,36,25,0.351,0.383,0.266,0
34,37,26,0.351,0.381,0.268,0
41,46,31,0.347,0.390,0.263,0
51,57,38,0.349,0.390,0.260,0
65,72,50,0.348,0.385,0.267,0
70,76,52,0.354,0.384,0.263,0
87,93,62,0.360,0.384,0.256,0
100,107,71,0.360,0.385,0.255,0
111,117,78,0.363,0.382,0.255,0
113,119,79,0.363,0.383,0.254,0
116,120,79,0.368,0.381,0.251,0
113,115,76,0.372,0.378,0.250,0
114,114,75,0.376,0.376,0.248,0
115,112,74,0.382,0.372,0.246,0
114,110,72,0.385,0.372,0.243,0
109,105,68,0.387,0.372,0.241,0
105,101,64,0.389,0.374,0.237,0
99,96,61,0.387,0.375,0.238,0
94,91,59,0.385,0.373,0.242,0
89,86,56,0.385,0.372,0.242,0
86,82,54,0.387,0.369,0.243,0
82,79,52,0.385,0.371,0.244,0
77,74,49,0.385,0.370,0.245,0
71,69,46,0.382,0.371,0.247,0
67,64,43,0.385,0.368,0.247,0
63,61,40,0.384,0.372,0.244,0
59,57,37,0.386,0.373,0.242,0
58,53,34,0.400,0.366,0.234,0
54,49,32,0.400,0.363,0.237,0
50,44,29,0.407,0.358,0.236,0
45,39,26,0.409,0.355,0.236,0
41,35,24,0.410,0.350,0.240,0
38,34,24,0.396,0.354,0.250,0
38,36,25,0.384,0.364,0.253,0
39,39,27,0.371,0.371,0.257,0
43,47,32,0.352,0.385,0.262,0
51,56,38,0.352,0.386,0.262,0
60,64,44,0.357,0.381,0.262,0
70,76,52,0.354,0.384,0.263,0
80,85,58,0.359,0.381,0.260,0
86,91,61,0.361,0.382,0.256,0
90,94,63,0.364,0.381,0.255,0
86,90,60,0.364,0.381,0.254,0
82,87,57,0.363,0.385,0.252,0
76,82,55,0.357,0.385,0.258,0
70,78,52,0.350,0.390,0.260,0
70,79,52,0.348,0.393,0.259,0
75,85,57,0.346,0.392,0.263,0
87,96,62,0.355,0.392,0.253,0
101,109,71,0.359,0.388,0.253,0
112,118,77,0.365,0.384,0.251,0
122,126,81,0.371,0.383,0.246,0
124,126,80,0.376,0.382,0.242,0
112,114,71,0.377,0.384,0.239,0
92,93,58,0.379,0.383,0.239,0
78,78,49,0.380,0.380,0.239,0
80,80,50,0.381,0.381,0.238,0
